Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
33.023722,0.478575,-19.333898,7.102828,34.440546
31.186047,0.434181,-19.204939,7.521947,34.47343
28.961492,0.3717,-10.596883,12.777054,34.374776
27.123817,0.317769,-7.405132,5.587553,34.506315
24.834783,0.288501,-14.530152,-0.95715,34.572084
22.706948,0.275348,-13.014876,8.037786,34.604969
23.577426,0.244765,-11.950959,7.231788,34.407661
21.094952,0.198068,-9.371767,5.909952,34.506315
18.838158,0.155976,-16.400067,3.427478,34.670739
19.515196,0.119145,-12.595758,-1.666428,34.440546
18.999357,0.087905,-9.952085,-4.245621,34.276122
17.742001,0.058637,-12.208879,-5.502977,34.440546
17.161682,0.019833,-14.788071,-0.247872,34.5392
16.323444,-0.016669,-8.920408,-1.634188,34.506315
14.19561,-0.040675,-5.728657,-3.375143,34.407661
11.551937,-0.071257,-10.467924,-2.730345,34.47343
8.198986,-0.095592,-4.890419,-5.051619,34.407661
2.331321,-0.116967,-9.823125,-5.309538,34.5392
-3.987701,-0.134396,-6.663614,-7.050493,34.309007
-8.920408,-0.146563,-9.694166,-8.436809,34.703623
-13.982074,-0.162019,-5.696417,-7.792011,34.769393
-19.366138,-0.174186,-4.43906,-11.88648,34.341891
-24.137645,-0.189313,-2.762585,-11.62856,34.341891
-28.135393,-0.195233,-3.826502,-10.177764,34.506315
-29.876348,-0.193588,-6.760334,-15.27167,34.637854
-30.327707,-0.203454,-0.666991,-14.304473,34.703623
-29.940828,-0.218252,-2.472426,-10.854802,34.604969
-27.748514,-0.22154,-0.89267,-13.337275,34.670739
-23.750766,-0.203454,2.428041,-15.755269,34.407661
-18.91478,-0.179777,-1.666428,-17.077105,34.670739
-12.660237,-0.166294,-2.827065,-18.62462,34.604969
-5.986576,-0.146234,-0.312352,-14.949271,34.736508
1.073965,-0.116967,-1.827627,-16.690226,34.900932
8.327945,-0.083425,-3.117224,-17.431744,34.670739
15.581926,-0.065009,1.589803,-15.36839,34.47343
22.449029,-0.05909,4.620355,-17.883103,34.506315
28.155494,-0.058761,-5.341778,-12.079919,34.506315
33.604041,-0.046265,-0.98939,-10.500163,34.5392
37.859711,-0.026534,3.717638,-14.368953,34.637854
41.470582,-0.020286,7.876586,-11.402881,34.506315
43.985297,-0.014696,4.717075,-13.337275,34.604969
44.952494,0.005035,3.072839,-9.726406,34.440546
45.242654,0.021806,4.652595,-14.659112,34.506315
44.275456,0.031014,-5.922096,-19.720777,34.769393
43.082579,0.026081,-10.467924,-13.369515,34.769393
41.921941,0.007995,-10.177764,-14.465672,34.604969
40.600104,-0.012394,-19.204939,-17.335024,34.5392
39.278268,-0.019628,-14.594632,-19.043739,34.637854
38.08539,-0.017655,-5.374018,-15.465109,34.506315
37.343872,-0.029494,-2.859305,-15.755269,34.47343
36.731314,-0.043963,-1.279549,-21.429492,35.131125
37.408352,-0.055802,-9.823125,-16.529026,34.440546
38.536749,-0.066325,-17.754143,-12.918157,34.47343
41.083703,-0.078492,-23.009248,-9.984325,34.506315
44.114256,-0.09329,-22.009811,-11.467361,34.506315
47.789608,-0.109404,-16.722466,-16.883665,34.703623
51.27152,-0.101182,-13.659675,-16.625746,34.769393
55.108072,-0.083754,-22.848048,-16.883665,34.604969
58.880143,-0.072902,-24.621243,-16.948145,34.572084
61.846217,-0.065996,-11.62856,-21.461732,34.670739
64.264212,-0.053828,-15.658549,-21.687412,34.604969
65.972928,-0.031796,-7.340652,-16.400067,34.736508
66.746687,-0.001871,-3.923222,-14.626872,34.637854
66.263088,0.025753,-15.40063,-12.692477,34.407661
64.522131,0.040222,-7.437372,-17.238304,34.5392
61.781737,0.039564,-12.853677,-12.563518,34.440546
57.848466,0.037591,-25.84636,-0.312352,34.407661
52.915756,0.036933,-33.519457,-1.634188,34.506315
47.950807,0.035947,-31.971942,-6.986013,34.703623
43.179298,0.044168,-3.633062,-6.953773,34.572084
38.24659,0.05206,-13.627435,-3.278423,34.637854
33.410602,0.06653,-5.309538,1.976682,34.440546
28.735813,0.079355,-3.890982,-0.054432,34.5392
25.447341,0.085932,-0.441311,-0.280112,34.703623
22.706948,0.09481,16.581364,4.684835,34.506315
21.062712,0.104676,1.912202,8.908264,34.407661
19.805355,0.121118,-1.634188,10.101141,34.341891
19.676396,0.13493,0.945005,5.587553,34.506315
19.805355,0.14348,-5.470737,2.299081,34.5392
20.288954,0.150714,-2.021067,0.945005,34.407661
21.127192,0.156963,-3.826502,-0.183392,34.5392
22.706948,0.165184,-4.858179,4.459156,34.506315
24.028785,0.174391,1.557563,4.265716,34.604969
24.963742,0.192807,2.62148,0.525886,34.506315
25.350621,0.220759,5.103954,-0.82819,34.5392
24.963742,0.240819,2.363561,-4.954899,34.736508
24.931502,0.262851,-12.627997,-7.082733,34.506315
23.803105,0.284884,16.194485,-5.309538,34.341891
22.706948,0.304286,12.325695,-10.822563,34.5392
20.675833,0.314809,1.622043,-14.562392,34.637854
17.80648,0.310205,11.294017,-16.851426,34.572084
15.324007,0.290475,-10.661363,-3.633062,34.572084
11.938816,0.262851,-3.149464,1.396364,34.47343
9.004983,0.243778,18.709198,-6.663614,34.47343
6.232351,0.232269,14.679209,-16.754706,34.47343
4.233476,0.230295,18.193359,-8.984888,34.47343
1.783243,0.232269,-2.988264,-2.536905,34.604969
-0.441311,0.219772,16.903763,-5.631937,34.835162
-2.021067,0.207276,15.452967,-11.080482,34.47343
-2.665865,0.193136,10.2301,-18.88254,34.572084
-2.182266,0.171103,21.256152,-14.562392,34.5392
-1.02163,0.146768,6.39355,-7.920971,34.5392
1.493084,0.127695,14.840408,-16.335587,34.670739
4.362436,0.11487,11.197298,-16.561266,34.769393
7.360748,0.095139,9.746501,-8.791448,34.637854
10.48802,0.071791,4.104517,7.489707,34.374776
13.518572,0.05798,18.419039,9.037223,34.374776
15.839846,0.048443,13.93769,-5.825376,34.572084
17.258402,0.035618,12.196735,-1.634188,34.670739
18.386799,0.030356,10.16562,2.234602,34.769393
19.611916,0.028712,5.845472,-1.601948,34.670739
19.611916,0.035947,11.455217,-9.887605,34.47343
17.774241,0.054362,8.972744,-15.465109,34.637854
15.324007,0.077053,11.036098,-10.371204,34.440546
11.809856,0.096784,7.102828,-5.535217,34.47343
7.779867,0.106649,5.587553,-6.115536,34.769393
4.813795,0.099414,9.746501,-14.626872,34.47343
2.65372,0.091851,9.295143,-13.917594,34.5392
0.235727,0.087247,7.199548,2.331321,34.374776
-3.084984,0.083301,1.654283,-3.020504,34.309007
-6.308975,0.068503,8.198986,-14.465672,34.604969
-8.469049,0.047456,8.263465,-14.497912,34.703623
-8.823688,0.03792,6.39355,-6.953773,34.637854
-8.662489,0.034631,16.162245,-4.37458,34.47343
-9.081607,0.033974,12.615854,-8.630249,34.604969
-9.565206,0.039235,13.550812,-13.788634,34.5392
-7.792011,0.04647,6.135631,-8.436809,34.5392
-5.954336,0.048772,5.136194,-3.762022,34.703623
-4.310101,0.045483,0.042287,-3.310663,34.47343
-4.084421,0.028383,1.073965,-5.051619,34.440546
-3.600823,0.01786,10.35906,-1.02163,34.572084
-2.698105,0.025424,4.072277,3.362998,34.670739
-1.827627,0.03496,7.038349,4.588115,34.572084
-1.956587,0.039235,13.679771,5.974431,34.703623
-1.118349,0.030356,11.809856,7.812107,34.506315
-0.473551,0.023122,2.91164,3.749877,34.407661
-0.73147,0.035618,-2.085547,-0.118912,34.47343
-1.408509,0.05206,3.524198,-1.698668,34.506315
-2.021067,0.061926,2.395801,-5.728657,34.637854
-2.472426,0.056993,9.488582,-9.919845,34.276122
-3.439623,0.052718,11.036098,0.912765,33.486889
-6.051056,0.066201,15.485206,3.298519,34.407661
-8.823688,0.08363,9.810981,-9.468486,34.572084
-10.758083,0.102045,16.097765,-7.953211,34.572084
-12.370078,0.132299,18.934878,4.297956,34.604969
-14.401192,0.171432,9.198423,8.456905,34.506315
-16.819186,0.211551,13.550812,4.749315,34.440546
-18.65686,0.248053,23.061587,2.62148,34.407661
-18.65686,0.272059,16.871523,8.972744,34.309007
-17.463984,0.285871,11.455217,9.004983,34.341891
-17.012625,0.30034,9.810981,5.555313,34.835162
-16.657986,0.304615,6.58699,4.040037,34.506315
-15.916468,0.295736,10.19786,6.909389,34.47343
-14.917031,0.289817,3.782117,7.070589,34.440546
-13.595195,0.287186,9.714262,5.458593,34.604969
-11.6608,0.279951,6.329071,9.166183,34.5392
-10.145524,0.267455,-2.988264,7.715387,34.440546
-8.694728,0.254959,8.070026,8.037786,34.47343
-6.792574,0.252986,6.973869,12.809293,34.407661
-5.599697,0.260878,-0.79595,12.261215,34.506315
-4.37458,0.273046,8.102266,16.065525,34.374776
-3.665302,0.291132,10.552499,17.451841,34.506315
-3.633062,0.32303,0.074527,18.676958,34.604969
-3.826502,0.355586,5.587553,17.613041,34.572084
-4.148901,0.388471,5.426353,13.96993,34.440546
-4.181141,0.415436,5.200674,17.258402,34.440546
-3.117224,0.447992,2.266841,21.417351,33.552658
-3.568583,0.476602,0.719326,24.189984,34.47343
-4.60026,0.488441,1.235164,18.03216,34.374776
-5.631937,0.496662,3.653158,15.001608,34.341891
-6.760334,0.521654,4.007797,23.609666,34.276122
-8.08217,0.553881,6.780429,25.8987,34.407661
-10.016565,0.566706,8.650344,19.837595,34.407661
-12.176639,0.549606,4.974994,14.19561,34.572084
-14.078793,0.522312,2.68596,15.388487,34.440546
-15.497349,0.502252,-1.827627,17.709761,34.440546
-17.657423,0.486139,2.91164,14.485769,34.506315
-19.204939,0.468381,5.103954,9.907701,34.5392
-20.430055,0.447992,3.137319,11.874336,34.506315
-20.559015,0.422671,4.136756,20.353434,34.604969
-20.365575,0.385511,1.138445,17.451841,34.440546
-19.430618,0.349338,-1.086109,11.036098,34.47343
-17.625183,0.342761,0.848285,14.582489,34.506315
-15.980948,0.350982,6.264591,19.096077,34.341891
-14.594632,0.342432,2.524761,16.226725,34.407661
-13.627435,0.320728,-1.02163,13.067213,34.440546
-12.015439,0.308561,5.942192,10.552499,34.243237
-10.081045,0.302642,-9.758646,3.105079,34.572084
-8.694728,0.297051,3.782117,12.615854,34.045929
-7.953211,0.287186,5.071714,17.161682,34.506315
-8.21113,0.268442,-12.305598,11.036098,34.440546
-8.404569,0.260549,6.71595,12.583614,34.604969
-8.598009,0.265153,0.364687,16.452404,34.637854
-9.371767,0.26614,-4.858179,16.903763,34.670739
-10.983762,0.276334,8.295705,12.712574,34.572084
-12.660237,0.295407,6.844909,1.912202,34.506315
-14.175513,0.32895,-5.374018,3.459718,34.506315
-15.17495,0.374331,-0.151152,8.876024,34.341891
-16.174387,0.416423,-1.924347,11.197298,34.374776
-17.915342,0.452925,-5.341778,3.556438,34.506315
-19.430618,0.500937,0.300207,-2.988264,34.670739
-20.591255,0.553552,-6.921533,4.394676,34.506315
-21.236053,0.602222,-2.762585,9.198423,34.440546
-21.622932,0.632804,-6.792574,1.976682,34.572084
-21.493972,0.644972,-7.211693,-1.215069,34.440546
-21.332773,0.643328,-8.888168,1.009485,34.506315
-21.074853,0.634778,3.234039,3.459718,34.5392
-21.010374,0.628858,3.008359,1.493084,34.5392
-20.301096,0.640697,5.007234,-4.245621,34.769393
-18.302221,0.647931,6.812669,-1.859867,34.341891
-16.851426,0.647603,-0.344591,4.233476,34.309007
-16.206627,0.638724,11.842096,0.622606,34.47343
-15.755269,0.63116,8.553625,0.171247,34.572084
-14.917031,0.627214,3.620918,3.620918,34.440546
-14.014314,0.62261,7.779867,5.103954,34.47343
-14.078793,0.603866,-1.311789,3.943317,34.670739
-14.562392,0.580189,8.295705,2.460281,34.407661
-14.433432,0.567693,6.748189,7.199548,34.506315
-14.401192,0.568679,5.039474,9.262903,34.5392
-14.788071,0.563418,8.037786,8.198986,34.5392
-15.23943,0.557827,5.007234,5.394113,34.572084
-15.755269,0.549935,4.523635,2.492521,34.309007
-16.077668,0.531848,4.652595,6.264591,34.407661
-16.786946,0.499293,4.362436,1.267404,34.47343
-16.690226,0.476931,4.620355,-5.051619,34.506315
-15.851988,0.463119,1.622043,-3.536343,34.5392
-14.917031,0.449308,-3.213944,-10.306724,34.5392
-14.304473,0.423329,-8.533529,-5.889856,34.47343
-13.466235,0.387484,-2.536905,-5.631937,34.5392
-11.467361,0.35164,-3.633062,-9.178327,34.703623
-9.597446,0.319413,-11.62856,-6.986013,34.440546
-8.436809,0.292119,-0.183392,-8.24337,34.440546
-7.243933,0.259892,-6.760334,-5.889856,34.703623
-5.341778,0.227336,4.620355,-4.245621,34.374776
-3.923222,0.202015,3.330759,-5.793137,34.506315
-2.859305,0.18623,-4.890419,-6.760334,34.604969
-1.311789,0.174391,2.97612,-10.951522,34.670739
0.332447,0.166499,-7.276172,-7.179453,34.47343
0.751566,0.164526,2.170122,-6.180015,34.703623
-0.247872,0.162224,4.426916,-9.178327,34.506315
-0.312352,0.165184,-1.924347,-6.083296,34.374776
0.396927,0.160909,0.042287,-3.633062,34.276122
0.461406,0.16913,-3.923222,-3.342903,34.506315
-0.151152,0.193793,-2.440186,-4.019941,34.440546
-0.79595,0.21188,-0.666991,-4.277861,34.47343
-1.086109,0.201686,-2.085547,-0.602511,34.604969
-0.73147,0.184586,-0.151152,2.8794,34.572084
-1.086109,0.186888,3.588678,3.201799,34.440546
-1.634188,0.201028,4.717075,4.781555,34.506315
-1.505228,0.198068,2.557001,4.652595,34.637854
-1.698668,0.191163,5.619792,6.45803,34.440546
-2.730345,0.188203,4.201236,6.55475,34.440546
-2.665865,0.190176,-0.89267,2.137882,34.506315
-1.376269,0.195767,-0.151152,-1.698668,34.572084
-0.022192,0.208263,-6.695854,-4.37458,34.703623
-0.086672,0.231282,-2.472426,0.267967,34.670739
-0.473551,0.249369,-0.409071,-0.634751,34.703623
0.203487,0.272059,-2.085547,-5.148338,34.572084
1.235164,0.293434,-12.627997,3.685398,34.637854
2.137882,0.314809,-16.367827,4.717075,34.572084
3.298519,0.335198,-9.436246,-2.311226,34.604969
4.394676,0.353942,-15.497349,-4.213381,35.065355
5.716512,0.362821,-10.403444,0.300207,34.47343
7.457468,0.362163,-14.691352,0.590366,34.407661
9.682022,0.358546,-20.365575,-9.275047,34.440546
