Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-74.786531,-0.294216,7.392988,18.547999,27.468985
-67.306875,-0.430687,9.907701,13.389612,27.50187
-58.731061,-0.562884,4.040037,12.648094,27.732063
-50.026288,-0.665155,5.490833,13.679771,27.764947
-41.547193,-0.757232,-0.602511,12.938253,27.732063
-32.165381,-0.837471,-1.924347,3.749877,27.896486
-22.39669,-0.85194,1.847723,1.493084,27.50187
-13.240556,-0.825961,-4.342341,6.71595,27.797832
-5.470737,-0.751313,-4.858179,11.390737,27.699178
1.944442,-0.648713,-3.762022,8.166746,27.732063
9.069463,-0.568803,-7.630811,11.229538,27.633409
16.903763,-0.499416,-9.242807,14.808168,27.600524
25.092702,-0.438251,-4.40682,17.93544,27.633409
33.668521,-0.40142,0.267967,18.644718,27.830717
41.631782,-0.375441,-3.987701,18.354559,27.403216
47.854088,-0.365247,-0.312352,18.483519,27.403216
49.046965,-0.340254,1.364124,18.676958,27.370331
47.886328,-0.3271,4.652595,17.80648,27.403216
36.634594,-0.340912,11.971056,18.09664,27.732063
31.734126,-0.382018,13.002733,13.260652,28.258218
21.514071,-0.413916,5.909952,16.097765,27.600524
13.325132,-0.429372,-0.82819,19.611916,27.337446
4.781555,-0.412929,6.780429,13.518572,27.534754
-3.246184,-0.396816,7.167308,8.327945,27.534754
-13.917594,-0.392212,1.944442,5.716512,27.50187
-27.297155,-0.381031,-1.086109,6.973869,27.567639
-35.647291,-0.348804,-0.409071,4.362436,27.600524
-37.710645,-0.313618,-1.118349,3.459718,27.830717
-35.357132,-0.288954,-2.956024,8.843784,27.534754
-32.165381,-0.253439,-4.148901,2.395801,27.699178
-29.424989,-0.244231,-4.66474,6.49027,27.468985
-25.68516,-0.21891,-1.086109,13.840971,27.567639
-16.400067,-0.176817,-3.568583,11.422977,27.107253
-4.116661,-0.142288,4.459156,14.453529,27.764947
6.877149,-0.134396,2.363561,9.166183,27.830717
22.803668,-0.078821,4.813795,-2.633625,27.633409
25.99542,0.020162,7.167308,-18.173262,27.764947
29.477331,0.070476,1.460844,-26.297718,27.830717
44.694575,0.080999,-0.98939,-26.039799,27.732063
53.818474,0.061268,1.460844,-14.755831,27.732063
57.751746,0.039235,-0.183392,-14.401192,27.732063
53.882954,-0.002199,5.361873,-23.718526,27.567639
46.016412,-0.049553,3.040599,-22.977008,27.633409
36.022035,-0.077834,-4.40682,-11.75752,27.600524
25.608541,-0.102827,2.557001,3.846597,27.4361
11.165058,-0.118611,7.521947,-0.634751,27.600524
-3.858742,-0.137027,8.360185,-15.11047,27.600524
-19.269419,-0.163006,-1.601948,-11.75752,27.4361
-32.61674,-0.182408,-0.92491,1.235164,27.468985
-42.61111,-0.175831,5.329633,-13.595195,27.600524
-49.768369,-0.169583,-2.827065,-8.21113,27.633409
-55.410351,-0.171556,-10.629123,2.524761,27.600524
-58.279703,-0.204769,-2.117787,-1.730908,27.633409
-55.73275,-0.264619,-1.182829,8.972744,27.534754
-49.18805,-0.3442,-1.408509,12.615854,27.699178
-37.742885,-0.438908,2.395801,3.330759,27.797832
-23.686286,-0.505993,5.877712,-3.181704,27.797832
-8.30785,-0.538878,3.040599,1.815483,27.633409
8.424665,-0.564528,0.364687,4.813795,27.699178
26.221099,-0.546441,8.166746,-3.729782,27.896486
45.210414,-0.496457,-11.435121,4.942754,28.488411
62.652215,-0.458639,5.394113,0.525886,27.863602
79.126822,-0.403722,1.170684,-1.408509,27.764947
93.312397,-0.353079,-3.600823,8.134506,27.666293
104.435179,-0.324141,3.524198,9.295143,27.600524
112.462927,-0.303752,-11.72528,9.585302,27.50187
117.10548,-0.288954,-7.920971,6.45803,27.50187
118.781958,-0.273827,-0.89267,6.748189,27.534754
117.13772,-0.251794,5.329633,16.484644,27.140138
113.107726,-0.222198,7.328508,4.104517,27.600524
107.111095,-0.202467,-2.246746,-4.60026,27.567639
99.953826,-0.188985,2.7182,-1.537468,27.600524
92.603118,-0.170898,0.558126,-5.083858,27.863602
85.155691,-0.124531,-0.570271,-8.469049,27.764947
77.837225,-0.061721,1.815483,-5.277298,27.600524
72.162996,-0.000555,-13.208316,-2.375706,27.666293
68.326444,0.034631,-2.472426,-4.50354,27.666293
67.230286,0.062583,-7.501852,-2.794825,27.600524
67.101326,0.086918,-9.242807,3.395238,27.534754
69.454841,0.078697,6.264591,-6.373455,27.50187
74.032912,0.052389,2.65372,-4.53578,27.666293
80.51314,0.04647,3.105079,11.068338,27.666293
87.702647,0.035947,3.298519,9.359623,27.699178
94.698715,0.020491,-6.760334,6.42579,27.764947
101.469103,0.03792,-8.14665,5.716512,28.028025
108.787572,0.03792,-2.762585,8.070026,27.830717
115.074363,0.048443,-10.725843,13.518572,27.534754
120.136036,0.076066,-13.014876,9.456342,27.666293
122.167154,0.11487,-16.335587,-0.634751,27.600524
122.231634,0.14052,-8.952648,7.489707,27.633409
120.297236,0.151372,-4.729219,9.553062,27.534754
116.815321,0.151043,-6.405695,2.81492,27.600524
111.818128,0.154989,-0.82819,4.459156,27.764947
105.531337,0.106649,-9.210567,1.654283,27.50187
97.40687,0.024766,-4.310101,1.428604,27.633409
87.896086,-0.054486,-5.341778,1.235164,27.567639
77.901705,-0.102498,-10.532403,-5.438497,27.534754
68.390923,-0.145906,-7.469612,-9.661926,27.764947
60.750059,-0.18734,-16.045428,-10.306724,27.567639
54.302073,-0.214635,-12.337838,-14.788071,27.797832
48.756806,-0.230419,-13.401755,-17.496224,27.633409
43.856337,-0.220554,-8.823688,-14.143273,28.159564
40.309945,-0.225815,-1.892107,-16.077668,27.732063
37.505072,-0.235023,-4.761459,-10.338964,27.732063
36.699074,-0.265606,-11.080482,-7.372892,27.666293
37.601791,-0.312302,-14.562392,-8.855928,27.699178
39.568427,-0.354395,-9.952085,-2.891545,27.567639
42.59898,-0.357683,-10.983762,-2.182266,27.567639
47.273769,-0.360314,-14.497912,-1.698668,27.732063
50.916881,-0.336308,-8.04993,-2.891545,27.797832
54.140874,-0.325785,-4.213381,-13.788634,27.896486
56.720068,-0.290269,-5.212818,-18.78582,27.600524
58.203105,-0.263633,9.391862,-17.206065,27.666293
60.169741,-0.237654,14.904888,-28.393312,27.732063
61.491578,-0.202138,6.167871,-26.620117,27.764947
61.007979,-0.175502,11.261777,-14.820311,27.600524
58.751184,-0.183394,9.488582,-14.143273,27.764947
55.140311,-0.230419,3.201799,-14.272233,27.600524
50.981361,-0.243244,8.876024,-15.884228,27.764947
46.66121,-0.247519,1.331884,-16.496787,27.666293
42.59898,-0.280733,1.009485,-18.495661,27.699178
37.988671,-0.285994,-3.890982,-22.23549,27.797832
33.636281,-0.261989,-2.311226,-29.03811,27.797832
28.703573,-0.225487,5.168434,-31.294904,27.863602
23.835345,-0.195562,-3.342903,-27.748514,27.732063
21.320632,-0.16169,5.071714,-23.686286,27.732063
18.999357,-0.103813,2.78268,-21.171573,27.863602
17.677521,-0.066982,0.558126,-20.075416,27.732063
17.580801,-0.057117,1.622043,-20.043176,27.699178
18.16112,-0.015353,-2.182266,-16.400067,27.732063
19.547436,0.030356,3.814357,-7.663051,27.666293
21.675271,0.071133,-5.406258,-15.980948,27.633409
24.544623,0.081985,-6.857054,-22.686849,27.797832
27.542936,0.083958,3.749877,-22.751329,27.732063
30.799168,0.084287,3.040599,-24.846923,27.732063
33.120442,0.080341,11.068338,-21.332773,27.863602
34.377799,0.070476,4.942754,-19.011499,27.764947
36.086515,0.090207,-9.371767,-21.719652,28.159564
36.828033,0.08363,-0.98939,-21.139333,27.732063
35.893076,0.073107,-3.890982,-19.881977,27.699178
32.443404,0.078368,-1.892107,-19.946457,27.699178
26.930377,0.096126,-0.538031,-18.269981,27.699178
20.901513,0.143809,-16.980385,-17.173825,27.633409
15.517446,0.175049,-15.14271,-14.852551,27.633409
10.48802,0.204974,-3.697542,-9.178327,27.567639
5.426353,0.235228,-5.245058,-9.597446,27.567639
-0.086672,0.272388,-3.568583,-6.857054,27.567639
-6.857054,0.302971,-6.405695,-5.535217,27.567639
-13.853114,0.330265,-6.405695,-13.401755,27.797832
-18.88254,0.345721,-3.052744,-10.887042,27.699178
-21.622932,0.360519,-8.662489,-15.626309,27.830717
-23.654046,0.387156,-6.663614,-18.269981,27.699178
-25.491721,0.422013,-4.37458,-11.75752,27.699178
-27.071476,0.414121,-1.634188,-13.949834,27.896486
-28.328832,0.371042,-4.987139,-12.595758,27.764947
-28.393312,0.340788,-6.921533,-1.569708,27.764947
-28.006433,0.297709,5.813232,0.010048,27.666293
-27.200436,0.255617,13.228412,1.106205,27.534754
-25.7174,0.230624,6.780429,4.684835,27.830717
-23.944205,0.211222,20.675833,8.940504,27.567639
-21.784131,0.210236,0.042287,5.007234,27.534754
-19.881977,0.210236,3.072839,-2.633625,27.50187
-19.656298,0.178338,16.516884,0.332447,27.468985
-20.462295,0.123749,5.652032,-3.471863,27.600524
-22.23549,0.087905,23.706385,-8.30785,27.600524
