Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-50.509886,-0.148536,9.262903,-2.407946,32.204385
-43.771747,-0.157415,1.847723,2.299081,32.1715
-34.389935,-0.165636,-5.857616,0.171247,32.10573
-41.611673,-0.18471,1.331884,0.396927,32.204385
-43.932946,-0.156758,4.781555,3.201799,32.270154
-43.449348,-0.114336,6.071151,5.780992,32.204385
-38.613362,-0.062707,1.557563,8.585865,32.10573
-28.199873,0.00372,-2.956024,8.456905,32.303039
-20.430055,0.048114,-4.148901,10.939378,32.303039
-9.694166,0.107635,-0.76371,8.843784,32.072846
-6.534654,0.167157,-3.633062,6.58699,32.007076
-14.691352,0.192478,-4.342341,7.650907,32.138615
-13.885354,0.200699,0.816045,14.00217,32.072846
0.493646,0.209249,-6.470175,10.101141,32.303039
-0.441311,0.215169,-5.793137,1.879963,32.039961
-1.698668,0.209578,-2.214506,3.266279,32.10573
3.556438,0.199713,2.170122,14.904888,32.072846
-1.02163,0.192807,-2.859305,14.00217,31.974191
-5.406258,0.212867,-2.536905,7.038349,32.138615
-4.858179,0.240161,-11.402881,13.776491,32.007076
-12.918157,0.245094,-7.147213,16.678083,32.039961
-12.402318,0.261536,-2.569145,18.193359,32.138615
-12.208879,0.239503,-5.728657,22.803668,32.007076
-21.139333,0.214182,-4.310101,15.420727,32.138615
-20.881414,0.203001,-16.496787,14.646969,32.10573
-21.784131,0.217799,-12.950397,21.449591,32.039961
-18.592381,0.242134,-8.533529,32.443404,31.842653
-23.267167,0.248382,-7.243933,26.479019,32.007076
-21.913091,0.255946,-6.244495,13.873211,32.10573
-13.466235,0.243121,-10.467924,21.223912,32.138615
-22.654609,0.242792,-12.982636,33.475081,31.941307
-23.944205,0.2862,-11.080482,30.541249,32.072846
-8.533529,0.298038,-10.403444,17.93544,32.138615
-10.951522,0.324017,-12.660237,12.486894,32.237269
-5.341778,0.337829,-10.596883,21.417351,32.1715
-5.438497,0.38584,-15.33615,29.154932,31.776883
-8.855928,0.436812,-19.204939,17.742001,32.039961
-9.726406,0.472327,-12.595758,11.616417,32.270154
-4.213381,0.534479,-6.180015,19.225037,31.875537
-14.691352,0.544345,-2.794825,22.868148,32.10573
-13.337275,0.498635,-3.375143,28.219974,31.974191
-12.982636,0.450623,-11.75752,20.288954,31.974191
-17.850863,0.400638,-14.143273,13.421852,32.204385
-19.624058,0.349009,-12.241119,19.579676,31.842653
-25.74964,0.277649,-5.728657,21.610791,32.10573
-31.101464,0.191492,-6.470175,16.130005,32.039961
-28.876911,0.130655,-15.23943,14.743688,31.875537
-36.03417,0.067187,-19.495098,9.553062,31.974191
-32.068662,0.036276,-7.953211,14.22785,32.1715
-28.812431,-0.028507,-6.341215,17.99992,32.039961
-32.874659,-0.09033,-7.437372,16.387924,31.842653
-36.292089,-0.142946,-12.015439,9.843221,32.10573
-29.811868,-0.197206,-14.917031,7.102828,32.138615
-24.266604,-0.258371,-6.792574,19.902075,32.10573
-21.493972,-0.280404,-10.758083,18.612478,32.007076
-17.270544,-0.296518,-4.53578,8.908264,32.072846
-12.756957,-0.300464,0.203487,6.748189,32.039961
-10.016565,-0.296518,-9.339527,10.842659,32.072846
-6.437935,-0.285666,-10.048805,17.290642,32.138615
-1.666428,-0.293887,-9.952085,11.229538,32.072846
3.234039,-0.306054,-9.113847,-1.02163,32.138615
9.037223,-0.305396,-7.953211,5.587553,32.204385
12.390175,-0.3271,-12.595758,-0.409071,32.138615
7.650907,-0.351764,-7.050493,-12.015439,32.007076
6.65147,-0.382347,-12.144399,-10.854802,32.368808
3.427478,-0.420164,-17.238304,-0.247872,32.467462
9.972181,-0.446143,3.653158,1.396364,32.138615
8.876024,-0.476397,-0.473551,-7.082733,32.10573
2.363561,-0.51816,-6.921533,-8.952648,32.1715
4.426916,-0.553018,-1.827627,2.94388,31.809768
0.687086,-0.586232,-0.89267,9.778741,32.204385
-7.437372,-0.627995,3.653158,8.876024,32.039961
-11.499601,-0.662853,6.232351,7.521947,31.974191
-8.726968,-0.705932,-1.02163,5.039474,32.10573
0.235727,-0.78354,-1.182829,3.975557,32.138615
-0.441311,-0.840102,5.716512,11.713136,32.072846
-1.440748,-0.895348,-1.279549,15.807606,32.1715
-2.440186,-0.904227,8.070026,3.459718,32.072846
2.234602,-0.915079,8.392425,-5.309538,32.204385
4.426916,-0.897979,-1.472988,-0.118912,32.138615
12.100015,-0.873973,5.845472,10.584739,32.204385
18.676958,-0.853584,7.328508,11.487457,32.007076
19.192797,-0.813136,-5.245058,-7.018253,32.270154
22.513509,-0.792419,-0.054432,-16.625746,32.072846
22.126629,-0.776634,3.975557,-5.374018,32.1715
18.16112,-0.721388,-3.794262,-8.694728,32.1715
20.417914,-0.694094,-6.728094,-14.014314,32.270154
25.673021,-0.652001,-2.891545,-18.302221,32.335923
20.869273,-0.609909,-2.021067,-19.333898,32.303039
17.355122,-0.537562,-0.82819,-12.176639,32.1715
14.937128,-0.476068,6.42579,-16.400067,32.237269
15.743126,-0.406352,-4.213381,-12.853677,32.138615
16.903763,-0.357025,-6.502415,-11.402881,32.237269
13.679771,-0.346173,4.942754,-19.624058,32.072846
8.940504,-0.322168,-3.375143,-9.339527,32.072846
7.360748,-0.299477,-5.502977,-2.633625,32.10573
5.071714,-0.304081,-6.244495,-14.659112,32.303039
10.32682,-0.312302,-10.177764,-24.653483,32.270154
13.486332,-0.32447,-7.211693,-10.887042,32.335923
14.389049,-0.35275,-2.665865,3.105079,32.039961
15.098327,-0.359985,-2.311226,-9.404006,32.237269
12.873773,-0.361958,0.590366,-7.018253,32.1715
14.969368,-0.352422,0.364687,1.170684,32.1715
20.192234,-0.325127,3.911077,15.227287,31.974191
24.802543,-0.284679,2.266841,17.226162,32.072846
30.380049,-0.248506,-2.730345,4.878274,32.138615
31.508446,-0.218252,-2.311226,2.395801,32.138615
31.605166,-0.203454,-4.40682,2.170122,32.204385
36.441154,-0.193588,-3.633062,7.586427,32.138615
38.21435,-0.182736,-0.538031,-0.054432,32.270154
36.408914,-0.168596,1.460844,-9.242807,32.1715
35.989795,-0.133081,3.234039,-4.890419,32.072846
35.570676,-0.127819,5.329633,-2.311226,32.138615
38.697949,-0.091646,0.396927,-4.052181,32.763425
37.762991,-0.062707,0.945005,-10.758083,32.10573
35.925315,0.001089,3.137319,-7.340652,32.1715
29.89645,0.060282,-7.147213,-4.60026,32.10573
25.028222,0.099085,-1.472988,-7.147213,32.204385
27.897575,0.124736,-5.922096,-3.633062,32.1715
30.637968,0.149728,-6.115536,-8.24337,32.270154
25.99542,0.144138,-3.310663,-3.697542,32.335923
21.83647,0.142822,-6.051056,1.202924,32.270154
24.802543,0.155318,0.848285,-8.791448,32.10573
25.70526,0.159264,-3.536343,-10.532403,32.204385
24.609103,0.145782,1.493084,-5.986576,32.138615
28.864773,0.112239,-0.79595,-6.728094,32.138615
35.506197,0.105334,4.846035,1.235164,32.270154
41.760742,0.118816,-0.151152,-2.472426,32.039961
42.985859,0.138876,-3.858742,-8.27561,32.270154
48.402166,0.15762,5.716512,3.330759,32.138615
51.11032,0.176365,-1.730908,7.650907,32.10573
51.755119,0.167815,5.490833,1.331884,32.1715
51.561679,0.140191,3.137319,-0.86043,32.204385
48.789046,0.111911,0.751566,5.007234,32.204385
53.560555,0.054362,2.395801,10.48802,32.1715
60.33094,0.007666,-2.730345,8.231225,32.138615
52.303198,-0.00483,-6.147776,0.816045,32.10573
46.080892,-0.031467,-3.955462,-1.924347,32.533232
37.182672,-0.052513,-11.499601,6.65147,31.974191
40.954744,-0.061063,-6.180015,7.844347,32.1715
36.054275,-0.082109,-6.695854,0.300207,31.809768
28.058775,-0.116967,-6.276735,2.78268,31.678229
28.703573,-0.164979,-4.60026,0.139007,32.072846
24.995982,-0.181421,-2.053307,-3.471863,32.270154
15.033848,-0.206085,-6.728094,-3.536343,31.974191
11.648656,-0.223842,-4.40682,-7.437372,32.072846
11.906576,-0.272512,-2.278986,-12.692477,32.566116
37.601791,-0.326443,-3.149464,-10.854802,32.631886
28.961492,-0.358999,-4.052181,-10.467924,32.303039
31.315007,-0.370837,-8.533529,-3.375143,32.039961
23.609666,-0.383991,-4.954899,-1.182829,32.434578
46.467771,-0.394514,-9.726406,-7.276172,32.401693
59.331502,-0.394185,-6.244495,-3.052744,32.533232
82.060657,-0.403064,-4.43906,1.525323,31.908422
80.867779,-0.393199,-10.145524,2.299081,31.974191
81.577058,-0.385306,-2.021067,-6.953773,32.1715
85.67153,-0.373139,-3.149464,-14.175513,32.039961
87.863846,-0.366562,-8.533529,-12.789197,32.368808
84.059533,-0.371166,-8.30785,-11.306161,32.303039
83.543694,-0.384649,-1.763148,-14.659112,31.908422
78.675463,-0.365904,-0.280112,-14.465672,32.368808
78.901143,-0.373139,2.97612,-13.208316,32.270154
68.713323,-0.346173,-1.311789,-11.112722,31.776883
48.595606,-0.289941,2.75044,-8.08217,31.908422
38.891388,-0.292571,4.910514,-5.857616,32.039961
35.151557,-0.257385,-3.600823,-5.277298,32.007076
31.121567,-0.199179,2.589241,-7.050493,32.007076
12.970493,-0.161033,1.912202,-10.919282,32.138615
15.485206,-0.123544,-2.827065,-8.694728,32.368808
23.609666,-0.099867,-0.98939,-7.953211,32.237269
10.907138,-0.107431,2.008922,-8.662489,32.204385
5.361873,-0.100525,-3.310663,-8.984888,32.138615
21.223912,-0.099209,1.783243,-8.694728,32.204385
14.872648,-0.064352,6.167871,-7.501852,32.500347
27.478456,-0.015024,11.036098,-12.337838,32.204385
37.730751,0.024108,8.521385,-13.627435,32.007076
36.989233,0.051731,3.040599,-9.661926,32.10573
33.571801,0.058308,10.810419,-11.435121,32.072846
44.630095,0.080012,8.843784,-6.857054,32.138615
55.301511,0.118487,8.037786,-2.053307,32.1715
61.588298,0.135916,6.812669,-4.954899,32.039961
45.274894,0.150057,7.231788,-6.728094,32.204385
33.86196,0.150386,12.486894,2.68596,32.270154
30.766928,0.120132,9.069463,2.331321,32.072846
19.353997,0.10073,13.163933,-4.310101,32.039961
15.452967,0.10073,16.613604,-5.986576,32.039961
12.970493,0.099085,16.226725,-3.213944,32.007076
-0.086672,0.08626,10.778179,1.073965,31.908422
-18.076542,0.052389,11.068338,-4.181141,31.809768
-39.19368,0.054362,13.712011,-9.178327,32.039961
-44.577744,0.036276,14.00217,-4.69698,32.401693
-47.995174,-0.005488,17.484081,0.622606,32.1715
-50.735566,-0.048238,8.908264,-6.470175,32.204385
-55.442591,-0.090988,13.96993,-12.402318,32.204385
-53.895076,-0.069613,14.16337,-7.598572,32.039961
-69.176789,-0.074546,14.582489,-5.277298,32.533232
-62.50313,-0.084082,20.224474,-4.922659,32.138615
-53.121318,-0.068298,12.035535,-7.759771,32.007076
-51.090205,-0.05909,14.19561,-11.56408,32.237269
-43.642787,-0.069942,16.613604,0.977245,32.303039
-35.679531,-0.067311,10.13338,8.843784,31.908422
-31.810742,-0.066653,14.26009,-0.086672,32.1715
-23.460607,-0.075861,11.197298,-3.342903,31.842653
-23.009248,-0.099867,8.198986,-5.245058,32.237269
-16.464547,-0.092961,10.004421,-1.247309,32.007076
-16.367827,-0.081452,7.425228,-0.98939,32.335923
-15.690789,-0.106115,8.618104,-14.304473,32.401693
-7.759771,-0.105786,12.035535,-9.855365,32.138615
-17.657423,-0.124531,18.09664,-4.69698,31.974191
-24.782443,-0.117954,15.968805,-10.693603,32.039961
-27.200436,-0.103813,10.520259,-6.695854,31.908422
-35.679531,-0.111706,13.228412,-9.210567,32.138615
-37.452726,-0.097565,14.969368,-5.857616,32.039961
-47.156937,-0.073888,17.580801,1.976682,32.072846
-50.993485,-0.094934,13.93769,-5.180578,32.1715
-55.055713,-0.111048,7.941066,-6.373455,32.039961
-64.888882,-0.102827,22.06215,-3.568583,32.237269
-69.821587,-0.093619,19.063837,-5.019379,32.599001
