Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
3.846597,-0.016011,-2.730345,0.977245,27.699178
4.910514,-0.028178,-2.085547,-1.02163,27.699178
5.684272,-0.031467,-3.052744,-1.505228,27.797832
6.973869,-0.02785,-0.376831,0.267967,27.633409
7.328508,-0.013709,-1.956587,7.747627,27.50187
7.844347,0.001747,-0.183392,3.266279,27.534754
8.553625,0.003391,2.7182,-4.4713,27.732063
9.037223,0.001747,-9.436246,-4.4713,27.600524
7.102828,0.006022,-1.408509,2.331321,27.699178
6.55475,0.014572,-2.021067,0.848285,27.699178
6.103391,0.029041,-5.245058,-8.565769,27.863602
4.491395,0.039893,3.072839,-5.309538,27.764947
3.395238,0.033316,-10.822563,-1.634188,27.896486
4.233476,0.020162,-6.470175,-1.924347,27.600524
5.200674,0.004049,-5.502977,-5.341778,27.567639
5.361873,-0.000226,0.429166,-7.405132,27.600524
5.297393,0.006022,1.235164,-6.018816,27.666293
5.619792,0.007666,-0.409071,-7.243933,27.863602
4.878274,-0.000884,-1.311789,2.91164,27.699178
6.200111,-0.008119,-2.343466,4.846035,27.797832
7.328508,-0.003186,-4.761459,-6.341215,27.50187
7.167308,0.012599,4.201236,-4.6325,27.699178
8.231225,0.018518,0.267967,1.299644,27.633409
7.715387,0.010954,-1.924347,0.396927,27.600524
6.232351,0.007008,-6.792574,-7.050493,27.567639
5.426353,0.008653,-8.855928,-6.341215,27.830717
3.943317,0.018518,0.396927,-4.052181,27.764947
3.685398,0.035947,1.654283,-4.277861,27.896486
2.492521,0.045155,0.235727,-4.6325,27.764947
2.75044,0.04647,-1.150589,-6.115536,27.633409
2.94388,0.051074,-7.759771,-0.344591,27.863602
3.653158,0.057322,-6.953773,-1.311789,27.699178
5.845472,0.061268,5.684272,-7.824251,27.567639
7.715387,0.055678,3.491958,-7.147213,27.633409
8.070026,0.038249,-10.145524,-6.083296,27.863602
6.780429,0.024108,-4.43906,0.332447,27.732063
7.102828,0.021149,0.751566,-2.053307,27.962256
6.812669,0.019504,-3.633062,-11.467361,27.699178
5.426353,0.021478,6.55475,-3.665302,27.534754
4.878274,0.019504,-4.342341,-2.633625,27.600524
5.168434,0.011283,-2.407946,-4.40682,27.732063
4.620355,0.014243,0.558126,2.68596,27.699178
3.782117,0.026739,-2.730345,-3.439623,27.929371
2.008922,0.041208,-1.634188,-11.177202,27.797832
1.299644,0.054691,-3.568583,-4.56802,27.666293
1.654283,0.053376,2.234602,-1.634188,27.600524
3.588678,0.047128,1.654283,-4.019941,27.732063
5.039474,0.05798,-9.855365,-4.954899,27.732063
5.942192,0.074093,-5.148338,-3.600823,27.666293
6.941629,0.079026,-3.762022,-0.602511,27.699178
8.005546,0.07508,2.78268,-3.342903,27.732063
6.42579,0.059953,2.363561,-10.242244,27.600524
3.975557,0.044168,-0.054432,-2.569145,27.732063
3.620918,0.038249,-1.311789,5.039474,27.567639
2.65372,0.039235,-8.372329,0.654846,27.764947
1.944442,0.042195,0.364687,-4.793699,27.699178
2.65372,0.044168,-1.634188,-9.984325,27.962256
2.97612,0.048114,-1.376269,-3.890982,27.732063
3.169559,0.056335,-3.375143,4.555875,27.567639
3.717638,0.060939,-0.441311,7.521947,27.764947
3.234039,0.060939,7.328508,1.525323,27.666293
3.169559,0.061597,-3.246184,-5.051619,27.666293
3.330759,0.058966,-1.279549,-4.729219,27.633409
3.846597,0.048772,1.912202,-3.439623,27.830717
5.039474,0.035947,-1.730908,3.717638,27.732063
5.039474,0.031343,1.686523,-0.151152,27.600524
5.780992,0.036605,2.137882,-9.532966,27.732063
5.394113,0.041537,-4.40682,-11.62856,27.633409
3.427478,0.033645,0.042287,-10.661363,27.830717
1.718763,0.016216,-3.858742,-1.892107,27.732063
0.429166,0.013585,-1.440748,1.364124,27.764947
-0.602511,0.016874,-1.311789,0.364687,27.830717
-0.95715,0.020162,-12.595758,0.106767,27.764947
0.429166,0.018518,-4.60026,1.073965,27.633409
2.105642,0.018847,9.649782,4.717075,27.699178
2.299081,0.02937,2.524761,0.042287,27.764947
1.622043,0.035947,0.364687,-4.922659,27.699178
0.429166,0.038906,2.65372,-7.566332,27.797832
1.751003,0.039235,-0.634751,-9.113847,27.666293
0.880525,0.039564,3.685398,3.943317,27.666293
2.202362,0.039893,-3.536343,4.394676,27.764947
3.782117,0.031014,-0.473551,-5.567457,27.666293
5.232913,0.01786,-5.180578,-4.987139,27.600524
4.974994,0.016545,-10.758083,2.557001,27.699178
2.8794,0.012599,-2.472426,4.942754,27.633409
0.912765,0.011941,2.331321,2.008922,27.797832
-2.472426,0.027397,-3.536343,-6.728094,27.732063
-3.471863,0.042524,-2.988264,-5.986576,27.732063
-3.697542,0.048443,2.94388,-1.601948,27.863602
-2.891545,0.045483,-7.824251,-0.441311,27.633409
-0.086672,0.043181,-7.727531,-2.601385,27.600524
1.557563,0.041208,9.359623,-7.147213,27.666293
1.944442,0.046799,-1.215069,-4.825939,27.633409
-0.022192,0.044168,-1.472988,4.781555,27.699178
0.880525,0.028054,1.493084,4.523635,27.600524
0.816045,0.013256,-12.337838,1.138445,27.732063
0.042287,0.00931,-3.052744,2.8794,27.633409
0.945005,0.014901,4.555875,-0.118912,27.666293
1.879963,0.016545,-5.438497,-3.955462,27.732063
3.459718,0.018518,0.622606,-5.374018,27.107253
1.879963,0.018189,-8.855928,0.106767,27.600524
0.300207,0.012928,-3.149464,1.912202,27.468985
-2.021067,0.019504,1.267404,0.622606,27.666293
-2.569145,0.033645,4.233476,0.493646,27.600524
-2.053307,0.045483,7.167308,1.686523,27.699178
-1.827627,0.040222,-5.696417,3.749877,27.797832
-0.92491,0.030685,-9.726406,1.589803,27.600524
0.171247,0.03496,3.588678,-1.05387,27.732063
1.267404,0.047785,-3.826502,1.654283,27.600524
1.396364,0.048772,2.041162,2.78268,27.699178
-0.538031,0.028712,2.299081,-1.182829,28.093795
-0.82819,0.016545,-3.052744,-5.696417,27.699178
-1.505228,0.020162,-1.601948,1.106205,27.732063
-1.505228,0.018847,-0.280112,6.52251,27.633409
-1.311789,0.016216,12.003296,-1.311789,27.962256
0.816045,0.013914,0.235727,-4.53578,27.929371
0.848285,0.017531,-0.409071,4.136756,27.797832
-0.86043,0.023122,-3.633062,6.135631,27.633409
-1.666428,0.02641,-11.78976,6.55475,27.764947
-2.117787,0.039235,-3.762022,4.426916,27.732063
-3.794262,0.048772,4.072277,-2.536905,27.764947
-3.471863,0.04351,0.912765,-2.859305,27.600524
-1.537468,0.044497,-7.920971,-2.278986,27.567639
-0.183392,0.043839,-4.148901,1.525323,27.600524
0.429166,0.042195,4.459156,1.686523,27.534754
0.816045,0.047785,8.456905,-2.859305,27.699178
0.945005,0.044826,1.170684,2.008922,27.764947
0.171247,0.034303,1.364124,6.103391,27.830717
-2.440186,0.021806,-1.440748,2.202362,27.732063
-3.407383,0.005693,-14.659112,4.297956,27.797832
-4.181141,-0.004501,-0.247872,-1.859867,27.863602
-4.50354,-0.004501,-2.536905,-8.372329,27.863602
-3.375143,-0.006474,1.912202,4.265716,27.732063
-3.600823,-0.012065,0.687086,2.75044,27.600524
-2.665865,-0.010749,0.622606,-1.182829,27.534754
-3.149464,0.00076,-6.212255,2.65372,27.4361
-3.729782,0.010626,-2.988264,-1.634188,27.699178
-3.504103,0.007995,5.877712,-0.441311,27.896486
-3.568583,0.002404,7.360748,-2.569145,27.863602
-1.859867,0.013256,8.876024,-1.086109,27.797832
-1.150589,0.032001,-11.499601,4.007797,27.764947
-0.247872,0.041866,-6.566894,-0.69923,27.699178
-1.247309,0.040222,3.201799,0.493646,27.534754
-2.214506,0.029041,-4.277861,1.138445,27.600524
-1.666428,0.027726,5.200674,4.491395,27.699178
-4.310101,0.036276,-10.016565,6.812669,27.699178
-5.986576,0.038906,0.622606,-3.471863,27.732063
-7.179453,0.03496,8.908264,-0.473551,27.732063
-6.341215,0.032658,-13.691914,5.780992,27.633409
-5.567457,0.03233,9.004983,5.748752,27.633409
-6.308975,0.035618,1.847723,3.491958,27.50187
-4.793699,0.04351,-6.341215,-4.4713,27.830717
-3.181704,0.047456,8.521385,-4.793699,27.896486
-3.310663,0.039564,10.42354,4.974994,27.732063
-2.730345,0.03496,1.783243,4.717075,27.896486
-2.311226,0.03233,-3.826502,-1.892107,27.962256
-1.698668,0.027726,8.424665,-5.631937,27.732063
-1.795388,0.031343,11.584177,-4.245621,27.567639
-2.601385,0.031672,-8.340089,-0.022192,27.633409
-3.342903,0.020491,0.880525,2.331321,27.600524
-3.246184,0.006351,4.072277,3.749877,27.600524
-4.181141,0.00372,2.266841,0.493646,27.666293
-5.760897,0.019504,-4.66474,-5.793137,27.764947
-6.373455,0.029699,-3.149464,0.106767,27.863602
-6.083296,0.014901,-3.117224,8.231225,27.699178
-6.051056,-0.001213,-1.763148,5.265153,27.732063
-7.308412,-0.005159,10.29458,-4.116661,27.666293
-5.793137,0.01227,10.101141,-7.372892,27.666293
-3.375143,0.03496,0.332447,4.813795,27.633409
-2.956024,0.038906,-1.118349,0.654846,27.666293
-2.214506,0.030685,3.620918,-8.11441,27.732063
-1.730908,0.028712,3.556438,-2.956024,27.929371
-1.892107,0.041866,9.875461,-1.698668,27.896486
-2.956024,0.05798,3.169559,4.136756,27.830717
-3.407383,0.059953,8.070026,1.944442,27.633409
-3.890982,0.044497,-0.505791,-1.182829,27.764947
-5.341778,0.033316,4.781555,-5.245058,27.567639
-4.245621,0.032987,6.167871,-5.922096,27.797832
-5.599697,0.039235,-5.083858,4.781555,27.403216
-6.792574,0.044826,3.588678,0.171247,27.666293
-7.469612,0.049758,3.266279,-8.340089,27.962256
-7.082733,0.061926,-1.472988,-1.601948,27.863602
-4.66474,0.077053,1.009485,2.94388,27.764947
-4.987139,0.077382,0.977245,0.074527,27.666293
-3.213944,0.077382,7.683147,-3.278423,27.732063
-1.408509,0.078039,4.394676,-1.440748,27.699178
-2.053307,0.075737,2.7182,2.7182,27.600524
-2.182266,0.063899,8.134506,1.622043,27.600524
-2.182266,0.044168,10.3913,-2.859305,27.764947
-2.053307,0.030356,3.975557,-1.215069,27.732063
-3.020504,0.028383,1.783243,-1.505228,27.567639
-4.277861,0.031014,9.359623,-7.501852,27.633409
-4.53578,0.032987,-3.729782,0.429166,27.699178
-4.793699,0.030028,7.102828,3.749877,27.764947
-5.438497,0.024437,0.816045,-8.404569,27.830717
-4.53578,0.02641,2.105642,-6.405695,28.126679
-3.762022,0.039893,7.199548,9.037223,27.666293
-4.181141,0.058966,0.461406,4.297956,27.732063
