Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
5.297393,-0.111706,-1.730908,0.719326,32.401693
5.619792,-0.114665,-2.504666,0.364687,32.401693
6.45803,-0.120913,-3.342903,1.396364,32.303039
7.812107,-0.129134,-2.246746,2.492521,32.434578
8.876024,-0.135054,-4.825939,1.331884,32.303039
8.876024,-0.137027,-1.118349,0.171247,32.401693
7.715387,-0.139986,-2.021067,1.267404,32.467462
6.58699,-0.141631,-1.634188,2.234602,32.829194
5.909952,-0.143604,-1.698668,2.94388,32.664771
5.684272,-0.150181,-2.536905,1.493084,32.796309
5.877712,-0.156758,-1.118349,1.525323,32.401693
6.038911,-0.154127,-1.634188,4.136756,32.401693
7.102828,-0.147879,-0.376831,2.460281,32.303039
6.844909,-0.14459,-0.151152,0.654846,32.303039
5.974431,-0.14755,-1.569708,3.330759,32.335923
3.072839,-0.152154,-0.79595,4.523635,32.303039
2.234602,-0.149852,-0.86043,4.910514,32.500347
1.525323,-0.146234,-0.376831,4.588115,32.368808
1.879963,-0.146234,0.010048,4.104517,32.566116
1.815483,-0.151496,-0.634751,4.684835,32.368808
2.266841,-0.152811,-0.247872,4.555875,32.533232
4.007797,-0.14755,-0.602511,3.782117,32.368808
3.556438,-0.139,0.622606,3.782117,32.434578
1.170684,-0.128806,0.880525,2.91164,32.368808
1.170684,-0.119269,-0.473551,3.814357,32.237269
0.461406,-0.111377,0.493646,4.104517,32.599001
0.654846,-0.104471,3.008359,2.97612,32.368808
0.816045,-0.097565,1.364124,2.78268,32.204385
1.557563,-0.094277,0.848285,3.782117,32.303039
3.330759,-0.088686,0.687086,5.265153,32.434578
3.105079,-0.082109,0.848285,5.136194,32.467462
2.492521,-0.077834,1.815483,4.620355,32.368808
0.429166,-0.066325,0.074527,5.555313,32.434578
-0.666991,-0.053828,0.622606,5.297393,32.270154
-1.02163,-0.050869,1.331884,3.878837,32.434578
-1.02163,-0.051855,1.847723,2.266841,32.368808
-0.634751,-0.0535,1.847723,3.169559,32.467462
-0.247872,-0.047909,1.783243,4.652595,32.500347
1.009485,-0.040675,1.396364,3.491958,32.335923
0.300207,-0.037057,2.331321,2.94388,32.368808
-2.536905,-0.037386,3.040599,4.265716,32.335923
-2.794825,-0.034755,2.073402,6.296831,32.862079
-3.890982,-0.032125,3.653158,5.361873,32.467462
-3.987701,-0.030809,2.7182,3.588678,32.500347
-3.987701,-0.026205,0.816045,4.749315,32.303039
-3.117224,-0.022259,1.976682,6.038911,32.368808
-1.795388,-0.020615,1.622043,5.168434,32.434578
-1.182829,-0.020615,0.525886,4.394676,32.467462
-2.440186,-0.018642,1.912202,2.8794,32.631886
-3.310663,-0.012065,1.847723,3.749877,32.73054
-3.568583,-0.004501,0.945005,3.943317,32.631886
-3.213944,-0.000555,1.202924,4.265716,32.237269
-3.213944,0.00931,2.331321,4.749315,32.335923
-2.472426,0.024437,1.815483,3.234039,32.303039
