Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
3.814357,0.210236,-0.247872,0.558126,27.50187
4.233476,0.211551,-0.634751,0.461406,27.534754
5.200674,0.207605,-1.118349,0.300207,27.633409
4.491395,0.205303,-0.73147,-0.118912,27.50187
5.103954,0.20629,-0.570271,0.171247,27.633409
4.942754,0.209249,-1.05387,0.687086,27.567639
4.330196,0.208263,-0.95715,0.816045,27.633409
4.072277,0.208263,-0.69923,0.267967,27.534754
2.557001,0.208592,-0.76371,0.654846,27.633409
2.91164,0.20892,-0.086672,1.331884,27.699178
3.911077,0.205632,-0.666991,0.558126,27.600524
4.846035,0.199384,-0.69923,0.977245,27.567639
4.104517,0.196424,-0.312352,0.977245,27.337446
4.265716,0.196095,-0.666991,0.912765,27.567639
5.168434,0.196095,-1.05387,1.106205,27.764947
4.588115,0.193793,-1.215069,0.590366,27.468985
2.68596,0.192807,-0.570271,0.654846,27.534754
3.105079,0.191163,-0.98939,1.009485,27.534754
4.136756,0.190176,-0.538031,0.816045,27.50187
5.007234,0.184915,-0.280112,0.654846,27.600524
3.717638,0.182284,-0.92491,0.719326,27.468985
4.974994,0.179653,-0.76371,0.977245,27.534754
5.168434,0.179982,-0.344591,1.202924,27.468985
4.523635,0.177022,-0.441311,1.428604,27.534754
3.234039,0.17472,-1.086109,0.880525,27.534754
2.460281,0.172747,-0.538031,0.751566,27.50187
2.84716,0.173076,-0.376831,1.299644,27.4361
3.169559,0.167486,0.010048,1.331884,27.468985
3.749877,0.163211,-0.118912,0.945005,26.745521
3.298519,0.159593,-0.376831,0.622606,26.679752
3.266279,0.16058,-0.76371,0.880525,27.666293
4.330196,0.161238,-0.022192,0.912765,27.732063
3.556438,0.160251,-0.73147,0.719326,27.633409
1.783243,0.159264,-1.118349,0.880525,27.205907
1.751003,0.160909,-0.344591,1.202924,27.567639
2.94388,0.161895,-0.86043,1.654283,27.50187
3.975557,0.159264,0.010048,1.525323,27.567639
2.041162,0.158936,-0.022192,1.331884,27.50187
3.685398,0.159264,0.074527,1.751003,27.50187
4.330196,0.161895,-0.473551,1.589803,27.4361
4.136756,0.161566,-0.312352,1.396364,27.633409
2.460281,0.161566,0.235727,0.654846,27.666293
2.137882,0.16058,-0.92491,0.493646,27.567639
3.105079,0.16354,-0.312352,1.073965,27.600524
3.008359,0.161895,0.203487,1.106205,27.600524
2.81492,0.161238,-0.183392,1.331884,27.534754
3.169559,0.159922,-0.151152,1.557563,27.830717
2.91164,0.163868,-0.183392,1.589803,27.600524
3.911077,0.161895,-0.86043,1.912202,27.633409
2.524761,0.159593,0.235727,1.364124,27.567639
1.299644,0.159264,-0.409071,1.009485,27.600524
1.331884,0.162882,-0.183392,1.106205,27.4361
2.073402,0.162224,0.203487,0.783805,27.468985
3.395238,0.157949,0.042287,0.816045,27.567639
1.493084,0.152359,0.267967,0.751566,27.600524
2.81492,0.151372,-0.086672,0.461406,27.468985
4.104517,0.15203,-0.473551,0.816045,27.4361
3.169559,0.151043,-0.79595,1.073965,27.633409
1.879963,0.151372,-0.215632,0.848285,27.468985
1.718763,0.151372,-0.376831,0.493646,27.567639
3.008359,0.152359,0.203487,0.654846,27.600524
3.072839,0.14907,-0.441311,0.977245,27.567639
1.718763,0.145124,-0.054432,1.041725,27.567639
3.137319,0.140849,0.267967,1.009485,27.50187
2.81492,0.14052,-0.151152,0.751566,27.370331
3.491958,0.138547,1.009485,0.558126,27.600524
1.847723,0.137561,0.171247,0.461406,27.403216
1.138445,0.137232,-0.634751,0.042287,27.304561
1.912202,0.141507,0.267967,-0.086672,27.534754
1.783243,0.139205,0.396927,-0.280112,27.666293
3.169559,0.136903,-0.312352,-0.215632,27.600524
1.847723,0.135588,-0.054432,0.203487,27.534754
1.879963,0.137232,-0.086672,0.235727,27.534754
3.008359,0.139534,-0.92491,0.106767,27.50187
0.558126,0.139205,-0.79595,0.396927,27.50187
-0.473551,0.138876,0.300207,0.396927,27.534754
-0.312352,0.14052,0.139007,0.461406,27.600524
0.783805,0.142493,-0.344591,0.332447,27.699178
1.138445,0.138218,0.364687,0.139007,27.468985
-1.05387,0.133614,0.912765,0.461406,27.534754
2.97612,0.131312,-0.247872,0.235727,27.534754
2.428041,0.133614,0.074527,0.203487,27.50187
2.170122,0.133943,0.332447,0.364687,27.633409
2.62148,0.134272,-0.73147,0.493646,27.50187
4.523635,0.136245,-0.73147,0.590366,27.633409
5.071714,0.139205,-0.280112,0.429166,27.534754
2.84716,0.135916,-0.376831,0.654846,27.732063
4.330196,0.134272,-0.76371,0.977245,27.534754
3.653158,0.133286,-1.05387,0.751566,27.600524
0.267967,0.136245,-0.73147,0.687086,27.403216
2.073402,0.137232,-0.89267,0.719326,27.534754
1.912202,0.137561,-0.666991,0.525886,27.732063
1.686523,0.137889,0.106767,0.364687,27.534754
0.461406,0.138547,0.267967,0.396927,27.534754
1.138445,0.137232,-0.280112,0.880525,27.699178
1.525323,0.133286,-1.118349,0.654846,27.764947
-1.730908,0.13197,0.010048,0.493646,27.304561
-0.312352,0.13197,-0.215632,0.654846,27.600524
1.879963,0.131641,-0.505791,0.751566,27.50187
1.299644,0.128682,-0.473551,0.525886,27.666293
1.912202,0.126051,-0.95715,-0.247872,27.50187
2.97612,0.124736,0.267967,-0.022192,27.50187
4.652595,0.123749,0.106767,0.332447,27.534754
1.364124,0.120461,0.493646,0.364687,27.666293
0.235727,0.118159,0.396927,0.590366,27.699178
3.362998,0.115528,-0.247872,0.622606,27.666293
1.364124,0.118816,0.558126,1.170684,27.633409
1.331884,0.120132,0.106767,1.041725,27.534754
1.364124,0.118159,-0.086672,0.816045,27.797832
3.266279,0.116843,0.010048,0.848285,27.238792
2.68596,0.116843,-0.538031,0.461406,27.468985
0.074527,0.113555,0.300207,0.558126,27.600524
1.364124,0.110595,-0.76371,0.590366,27.50187
1.493084,0.111253,-0.215632,0.332447,27.468985
2.073402,0.114212,0.687086,0.783805,27.567639
1.557563,0.11487,-0.151152,0.816045,27.600524
0.977245,0.112568,0.332447,0.783805,27.797832
3.685398,0.114212,0.590366,0.558126,27.666293
2.492521,0.112897,0.590366,0.654846,27.534754
0.719326,0.111253,1.460844,0.945005,27.600524
0.429166,0.10632,0.010048,0.461406,27.567639
0.783805,0.104676,0.171247,0.461406,27.666293
2.363561,0.105334,0.525886,0.654846,27.468985
-0.280112,0.106649,-0.118912,0.880525,27.271677
0.332447,0.104018,0.493646,0.719326,27.50187
4.426916,0.104018,0.364687,0.332447,27.403216
3.685398,0.10336,0.074527,0.364687,27.370331
2.105642,0.10336,0.106767,0.493646,27.4361
0.912765,0.10336,0.429166,0.687086,27.370331
3.943317,0.102703,0.300207,0.590366,27.304561
2.78268,0.101059,0.106767,0.074527,27.4361
-0.344591,0.102703,1.009485,0.364687,27.534754
2.105642,0.105991,0.042287,0.493646,27.567639
2.62148,0.106649,0.042287,0.751566,28.06091
3.072839,0.105334,0.912765,0.590366,27.238792
1.493084,0.104018,0.493646,0.203487,27.764947
1.170684,0.105005,1.041725,0.783805,27.830717
2.170122,0.105005,0.364687,0.558126,28.422642
-0.312352,0.105662,0.042287,-0.054432,27.403216
-0.151152,0.107635,0.751566,0.042287,27.468985
-0.538031,0.111911,0.493646,0.364687,27.337446
-1.118349,0.112897,0.429166,0.203487,27.337446
1.493084,0.111911,0.332447,-0.538031,27.4361
1.944442,0.109937,0.235727,-0.183392,27.600524
1.718763,0.109609,0.300207,0.042287,27.534754
0.525886,0.108951,0.300207,0.171247,27.600524
2.65372,0.105991,0.203487,0.203487,27.797832
2.8794,0.101387,-0.570271,-0.376831,27.666293
-0.79595,0.102045,0.364687,-0.183392,27.732063
0.235727,0.104018,0.590366,-0.409071,27.633409
2.8794,0.101059,-0.022192,-0.73147,27.534754
3.137319,0.100072,0.332447,-0.312352,27.4361
1.944442,0.101059,-0.151152,-0.666991,27.600524
1.428604,0.102045,-0.215632,-0.344591,27.567639
3.330759,0.098428,-0.344591,0.074527,27.238792
1.267404,0.096455,-0.280112,-0.344591,27.468985
-0.69923,0.096126,-0.086672,-0.183392,27.4361
-0.441311,0.097112,0.106767,0.203487,27.764947
-0.69923,0.095468,0.300207,0.332447,27.50187
1.267404,0.09481,0.010048,-0.215632,28.028025
1.299644,0.094482,-0.538031,-0.312352,27.732063
0.816045,0.09481,-0.312352,-0.086672,27.633409
0.074527,0.093166,-0.69923,-0.151152,27.534754
0.977245,0.092509,-0.280112,-0.280112,27.337446
0.880525,0.093166,-0.538031,-0.473551,27.468985
-2.343466,0.094153,-0.344591,-0.602511,27.4361
-1.247309,0.096126,-0.247872,-0.69923,27.50187
2.363561,0.097112,-0.215632,-0.280112,27.403216
1.428604,0.094482,0.042287,0.139007,27.50187
0.364687,0.091193,-0.82819,-0.376831,27.600524
1.202924,0.089878,-0.666991,-0.441311,27.633409
2.97612,0.08626,-0.666991,0.074527,27.534754
0.525886,0.084287,-0.280112,-0.022192,27.337446
-1.311789,0.080999,-0.376831,-0.73147,27.567639
1.589803,0.081328,-0.183392,-0.79595,27.50187
2.105642,0.080341,0.235727,-0.022192,27.50187
1.847723,0.079683,0.235727,0.106767,27.50187
2.460281,0.078697,-0.280112,0.074527,27.666293
2.8794,0.077382,-0.247872,0.106767,27.567639
1.428604,0.072778,-0.666991,-0.086672,27.567639
-0.022192,0.069489,-0.312352,0.074527,27.4361
0.880525,0.070805,0.235727,-0.118912,27.764947
-0.151152,0.07212,-0.312352,0.074527,27.666293
-1.376269,0.070805,-0.634751,0.429166,27.534754
