Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
6.941629,0.088562,-3.278423,1.073965,31.382267
7.554187,0.087905,-3.181704,1.170684,31.086304
7.167308,0.087576,-3.568583,1.235164,31.415151
9.617542,0.08922,-3.729782,0.945005,31.119189
7.876586,0.095139,-3.568583,0.945005,31.809768
8.779304,0.102045,-3.955462,1.170684,31.415151
9.714262,0.105991,-3.342903,1.106205,31.316497
8.714824,0.105662,-2.988264,1.202924,31.283612
10.552499,0.104018,-3.084984,1.331884,31.217843
8.037786,0.106649,-3.504103,1.396364,31.152074
10.004421,0.110266,-3.794262,1.331884,31.415151
9.295143,0.113884,-2.698105,0.848285,31.382267
8.456905,0.117501,-2.794825,0.945005,31.579575
9.843221,0.121447,-2.859305,1.460844,31.61246
7.457468,0.12638,-2.794825,1.267404,31.349382
9.230663,0.125064,-2.343466,0.848285,31.217843
9.262903,0.119474,-2.021067,0.429166,30.757457
7.521947,0.114541,-1.827627,0.816045,31.184958
9.778741,0.111582,-1.344029,0.783805,31.217843
6.61923,0.110595,-0.92491,0.267967,31.119189
8.843784,0.114541,-1.376269,0.139007,30.98765
6.877149,0.121776,-1.408509,-0.022192,31.184958
5.716512,0.127037,-1.440748,-0.215632,31.349382
7.812107,0.128353,-0.89267,-0.086672,31.283612
6.167871,0.127366,-0.634751,-0.602511,31.316497
7.264028,0.124736,-1.215069,-0.92491,31.184958
5.909952,0.122762,-1.472988,-0.92491,31.119189
6.36131,0.121447,-1.601948,-1.05387,31.283612
7.038349,0.124078,-0.73147,-1.182829,31.283612
4.362436,0.127695,-0.538031,-1.601948,31.217843
6.200111,0.129668,-1.601948,-2.021067,31.119189
5.232913,0.128024,-0.89267,-2.536905,31.020535
5.007234,0.12638,-0.69923,-1.892107,31.184958
6.36131,0.122105,-0.441311,-1.859867,31.217843
3.911077,0.117172,-0.215632,-1.215069,31.283612
5.619792,0.113884,-0.570271,-1.279549,31.480921
2.84716,0.113884,0.074527,-1.472988,31.250728
4.813795,0.11783,0.171247,-1.859867,31.053419
6.296831,0.118816,-0.151152,-2.053307,31.382267
4.974994,0.115857,0.171247,-2.150027,31.382267
8.553625,0.112239,0.654846,-2.536905,31.776883
6.71595,0.106649,0.203487,-2.343466,31.448036
4.910514,0.098757,-0.086672,-2.375706,31.711114
5.361873,0.093495,0.654846,-2.182266,31.250728
3.395238,0.091193,-0.022192,-2.278986,31.250728
4.007797,0.096126,-0.183392,-2.472426,31.316497
0.751566,0.103032,0.525886,-2.601385,31.086304
5.007234,0.106649,-0.473551,-2.343466,31.053419
6.909389,0.105005,0.429166,-2.021067,31.119189
3.169559,0.100072,0.364687,-2.246746,31.316497
5.716512,0.091193,0.235727,-2.343466,31.217843
3.685398,0.085603,0.525886,-2.601385,31.54669
4.136756,0.082972,0.332447,-2.504666,31.448036
2.81492,0.081985,0.300207,-1.988827,31.283612
3.266279,0.083301,0.074527,-1.924347,31.513805
9.004983,0.082314,-0.409071,-2.214506,31.316497
6.65147,0.081657,0.235727,-2.698105,31.217843
7.489707,0.075737,0.525886,-2.730345,31.513805
6.844909,0.065872,-0.054432,-2.407946,31.283612
6.200111,0.056335,-0.312352,-2.440186,31.250728
5.297393,0.04943,0.332447,-3.052744,31.119189
1.815483,0.046799,0.558126,-2.794825,31.086304
6.39355,0.046799,0.396927,-1.988827,31.513805
4.942754,0.046799,0.203487,-2.407946,31.316497
4.201236,0.045483,0.590366,-2.730345,31.415151
7.489707,0.042524,0.977245,-2.665865,31.349382
3.105079,0.035947,0.751566,-2.117787,31.415151
4.974994,0.030356,0.880525,-2.182266,30.560149
2.105642,0.026739,1.073965,-2.665865,31.086304
1.847723,0.026081,0.235727,-2.246746,31.316497
3.911077,0.030028,0.106767,-2.311226,31.119189
1.622043,0.032987,0.396927,-2.407946,31.480921
5.716512,0.032987,-0.634751,-2.633625,31.316497
3.911077,0.03233,-0.538031,-2.827065,31.316497
2.8794,0.030028,-0.151152,-2.730345,31.415151
3.427478,0.027726,0.074527,-2.053307,31.250728
0.977245,0.024437,-0.086672,-1.698668,31.349382
2.170122,0.026081,0.235727,-2.407946,31.349382
-1.215069,0.032658,0.267967,-2.536905,31.316497
1.783243,0.042524,0.396927,-1.698668,31.842653
2.299081,0.046141,0.042287,-1.569708,31.053419
0.429166,0.04943,-0.441311,-2.021067,31.217843
4.168996,0.050745,-0.215632,-2.923784,31.152074
0.912765,0.049101,0.558126,-2.311226,31.415151
1.428604,0.045483,-0.280112,-1.182829,31.316497
0.654846,0.044168,-0.666991,-1.215069,31.349382
-1.569708,0.047456,-0.344591,-1.505228,31.119189
1.686523,0.052389,-0.79595,-0.89267,31.382267
-1.02163,0.055678,-0.570271,-0.151152,31.184958
2.266841,0.05502,-0.89267,-0.118912,31.382267
3.717638,0.053376,-0.95715,-0.73147,31.053419
-0.570271,0.04943,-0.86043,-0.89267,31.349382
1.235164,0.044826,-0.118912,-0.79595,31.283612
-0.98939,0.038906,0.106767,-0.89267,31.480921
-1.118349,0.037262,-1.118349,-0.92491,31.382267
-1.763148,0.03792,-1.279549,-1.279549,31.316497
-1.666428,0.039564,-1.440748,-1.02163,31.513805
