Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-4.729219,0.424973,-2.117787,-0.022192,27.107253
-3.375143,0.435496,-1.150589,2.105642,27.074368
-4.793699,0.445033,-0.98939,2.94388,27.304561
-4.66474,0.452596,-2.021067,0.332447,27.140138
-4.40682,0.452267,0.880525,1.106205,27.008599
-5.245058,0.438456,-1.118349,2.170122,27.041484
-5.019379,0.430892,-2.569145,0.880525,26.942829
-4.858179,0.428261,0.816045,0.654846,27.271677
-3.310663,0.421685,-0.022192,0.203487,27.041484
-3.181704,0.415436,-1.601948,0.139007,26.975714
-3.504103,0.413135,0.267967,0.493646,27.205907
-2.311226,0.414121,0.010048,0.429166,27.173023
-3.278423,0.417081,-0.634751,1.009485,27.074368
-2.601385,0.416094,-0.312352,0.461406,27.107253
-2.956024,0.417738,-0.634751,-0.022192,26.909945
-1.763148,0.417081,0.590366,-0.95715,27.140138
-0.666991,0.413135,-0.022192,-1.182829,27.074368
-1.730908,0.409517,0.106767,0.396927,27.173023
-0.280112,0.410175,-1.376269,2.234602,27.271677
-0.92491,0.409517,-1.05387,0.525886,27.107253
-0.79595,0.406886,-1.182829,0.074527,27.173023
-0.538031,0.399323,-0.376831,3.040599,27.271677
-1.730908,0.390444,1.299644,3.137319,27.173023
-0.82819,0.382552,-0.82819,0.719326,27.140138
0.010048,0.376961,1.235164,-1.376269,27.304561
0.010048,0.370713,-0.280112,-0.69923,27.074368
0.203487,0.366109,2.202362,2.105642,26.942829
0.171247,0.360519,0.590366,1.073965,27.008599
2.073402,0.354271,0.300207,-0.602511,27.008599
1.235164,0.347694,1.331884,1.041725,27.107253
1.138445,0.341117,0.010048,2.137882,27.238792
2.492521,0.330594,0.719326,3.556438,27.205907
3.459718,0.319742,2.428041,2.62148,27.074368
4.813795,0.316125,-0.118912,0.622606,27.140138
3.491958,0.316453,-0.666991,1.589803,27.205907
4.555875,0.313165,-0.054432,1.622043,27.304561
6.006671,0.308561,3.234039,0.010048,27.107253
4.201236,0.304944,3.943317,-1.795388,27.173023
5.200674,0.30034,-0.73147,-1.763148,27.074368
4.265716,0.287844,3.491958,1.428604,27.238792
4.297956,0.279951,4.233476,0.880525,27.008599
5.265153,0.272388,2.78268,1.557563,27.107253
3.524198,0.265482,1.944442,3.395238,26.975714
4.749315,0.258905,1.331884,3.911077,27.173023
4.007797,0.248382,3.782117,5.490833,27.041484
4.104517,0.240819,1.718763,3.975557,27.173023
4.330196,0.233584,1.428604,1.331884,27.008599
1.783243,0.221088,0.332447,4.233476,27.041484
3.588678,0.214511,1.073965,2.62148,27.107253
2.94388,0.211551,8.327945,0.558126,27.140138
1.944442,0.209907,9.295143,0.977245,27.140138
2.395801,0.21188,5.490833,-1.537468,27.173023
-0.118912,0.210236,5.232913,0.622606,27.140138
1.557563,0.20333,7.554187,2.202362,27.173023
-1.118349,0.199055,8.005546,1.493084,27.008599
-2.762585,0.194451,4.781555,1.364124,27.173023
-3.181704,0.182613,3.362998,1.041725,27.205907
-5.180578,0.169459,5.136194,3.556438,27.107253
-5.051619,0.162882,5.652032,1.493084,27.205907
-7.920971,0.152359,3.008359,-1.763148,27.074368
-7.824251,0.136574,2.266841,-0.473551,27.074368
-7.405132,0.118816,3.395238,0.171247,27.205907
-9.565206,0.105005,4.974994,-1.02163,27.107253
-8.372329,0.090535,7.328508,-6.147776,27.074368
-10.693603,0.071462,5.168434,-4.922659,27.173023
-9.532966,0.04943,4.910514,0.267967,27.041484
-8.01769,0.02937,6.941629,0.945005,27.140138
-10.854802,0.013256,6.39355,-0.086672,27.041484
-8.01769,0.002076,6.167871,-0.95715,27.008599
-8.791448,-0.005488,1.976682,2.299081,26.975714
-7.598572,-0.017326,4.588115,3.975557,27.074368
-7.598572,-0.026205,5.652032,1.138445,26.975714
-9.339527,-0.033769,4.588115,0.783805,27.4361
-7.243933,-0.046923,2.363561,1.009485,27.107253
-8.694728,-0.071915,1.751003,-0.92491,27.140138
-9.532966,-0.08474,5.458593,-2.053307,27.107253
-10.145524,-0.099538,4.717075,-4.793699,27.140138
-10.596883,-0.120256,3.814357,-2.730345,27.173023
-9.500726,-0.140315,3.169559,-0.247872,26.975714
-11.918719,-0.149194,4.362436,-0.409071,27.008599
-11.72528,-0.161361,2.524761,0.300207,27.074368
-11.822,-0.175173,3.201799,1.299644,26.975714
-13.627435,-0.186683,5.329633,2.041162,27.008599
-14.336713,-0.195233,3.975557,2.91164,27.107253
-16.625746,-0.203125,1.622043,0.977245,27.140138
-15.497349,-0.214964,1.202924,-0.118912,27.173023
-14.884791,-0.225815,1.331884,0.074527,27.107253
-15.723029,-0.235023,1.073965,-1.05387,26.87706
-13.949834,-0.246533,2.75044,-0.92491,27.304561
-14.143273,-0.25311,1.589803,-0.022192,27.238792
-13.466235,-0.259687,3.169559,-0.473551,27.140138
-14.884791,-0.272841,3.330759,-1.569708,27.074368
-16.400067,-0.285008,2.492521,-0.312352,27.205907
-15.626309,-0.289283,-0.151152,1.912202,27.140138
-16.980385,-0.290927,1.654283,3.072839,27.238792
-15.17495,-0.298162,1.428604,3.943317,27.041484
-14.530152,-0.305725,-0.505791,4.072277,27.107253
-15.755269,-0.311645,-1.118349,5.458593,27.107253
-14.820311,-0.320523,-0.086672,4.878274,27.041484
-17.077105,-0.331375,0.300207,2.75044,27.074368
-18.65686,-0.343543,-2.762585,2.105642,27.008599
-20.010936,-0.350448,-0.247872,1.267404,26.975714
-20.172136,-0.354066,-1.150589,1.622043,27.140138
-18.141022,-0.357354,1.009485,3.137319,26.975714
-19.495098,-0.356039,1.686523,5.716512,27.041484
-15.755269,-0.354395,-1.924347,2.8794,26.909945
-17.141585,-0.348147,0.139007,2.68596,26.975714
-16.819186,-0.341898,-1.698668,5.039474,27.041484
-17.689663,-0.342885,-0.86043,5.877712,26.745521
-20.139896,-0.343543,-1.795388,7.973306,26.87706
-16.593506,-0.340912,-3.987701,6.49027,26.942829
-17.915342,-0.340912,-2.182266,4.846035,27.173023
-16.883665,-0.338281,-1.440748,6.65147,26.844175
-13.982074,-0.337295,-4.213381,6.135631,26.909945
-15.529589,-0.337623,-3.536343,6.61923,27.074368
-13.982074,-0.3442,-1.601948,6.909389,27.008599
-17.141585,-0.353737,-0.92491,6.36131,27.074368
-15.43287,-0.362945,-1.086109,7.683147,27.205907
-15.17495,-0.36985,-3.407383,8.360185,27.074368
-18.076542,-0.379058,-1.795388,9.262903,27.205907
-12.789197,-0.387608,-2.698105,7.844347,27.008599
-14.594632,-0.386622,-2.504666,5.103954,27.008599
-11.75752,-0.381689,-2.504666,6.329071,27.140138
-12.756957,-0.38432,-0.82819,6.232351,27.008599
-14.433432,-0.387937,-4.40682,5.039474,27.271677
-11.241681,-0.38432,-3.858742,5.716512,27.107253
-15.980948,-0.382675,1.879963,6.877149,27.074368
-13.079356,-0.383662,-0.73147,7.392988,27.107253
-13.176076,-0.387279,-1.730908,5.297393,27.008599
-12.015439,-0.39287,-1.440748,5.361873,27.140138
-7.437372,-0.397802,-4.43906,7.296268,27.173023
-12.144399,-0.399447,-3.504103,7.328508,26.975714
-7.792011,-0.40142,-0.666991,7.586427,27.107253
-8.920408,-0.405366,-5.502977,6.844909,26.942829
-11.435121,-0.40997,-4.56802,5.684272,26.745521
-7.243933,-0.412929,-2.730345,6.909389,27.238792
-11.048242,-0.416218,-5.406258,7.006109,27.140138
-5.502977,-0.419506,-5.631937,6.103391,27.271677
-5.116098,-0.422137,-5.245058,9.133943,27.107253
-5.438497,-0.428714,-2.891545,5.942192,27.140138
-1.698668,-0.43266,-5.760897,5.426353,27.041484
-6.244495,-0.430358,-7.888731,8.843784,27.008599
-1.408509,-0.429372,-4.922659,7.715387,27.041484
-3.794262,-0.431674,-4.69698,6.038911,26.975714
-4.277861,-0.432989,-5.696417,5.780992,27.304561
1.073965,-0.435291,-5.567457,6.103391,27.107253
-1.472988,-0.439237,-7.147213,5.619792,27.074368
4.910514,-0.448774,-5.631937,3.491958,27.041484
2.137882,-0.451076,-3.826502,4.878274,26.909945
1.364124,-0.451733,-3.923222,5.426353,27.173023
6.61923,-0.456008,-4.4713,5.684272,27.008599
1.622043,-0.453706,-4.858179,4.813795,27.041484
6.45803,-0.455022,-3.987701,3.685398,27.173023
4.233476,-0.460612,-6.276735,5.007234,26.975714
7.199548,-0.461599,-5.502977,5.039474,27.238792
