Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
1.944442,0.129668,0.783805,-0.312352,28.389757
4.717075,0.127037,0.558126,-0.344591,28.225334
4.652595,0.128682,1.106205,-0.215632,28.323988
4.652595,0.127366,0.687086,0.139007,28.192449
3.201799,0.126709,0.977245,-0.312352,28.192449
1.041725,0.126051,0.687086,-0.280112,28.225334
1.912202,0.125722,0.848285,-0.280112,28.258218
0.912765,0.123749,1.235164,0.171247,28.291103
2.202362,0.117172,-0.022192,0.396927,28.258218
3.137319,0.112897,0.074527,0.074527,28.455527
4.007797,0.109937,-0.280112,0.171247,28.323988
6.167871,0.108293,-0.570271,0.139007,28.323988
3.588678,0.106649,-0.312352,0.139007,29.113221
2.7182,0.108293,-0.086672,-0.086672,28.323988
2.94388,0.110595,-0.473551,-0.280112,28.291103
2.78268,0.108951,-0.570271,0.332447,28.192449
3.911077,0.104676,-0.183392,0.267967,28.225334
3.459718,0.098099,-0.69923,-0.118912,28.291103
6.42579,0.093166,-0.79595,-0.602511,28.258218
7.199548,0.091851,-0.344591,-0.344591,28.126679
5.974431,0.091522,-0.666991,0.364687,28.258218
5.555313,0.092837,-1.311789,0.235727,28.323988
3.749877,0.093824,-0.247872,-0.022192,28.389757
4.426916,0.089549,-0.602511,0.203487,28.389757
3.717638,0.082643,-0.79595,0.429166,28.192449
4.362436,0.076395,-0.89267,0.654846,28.323988
6.200111,0.074093,-1.118349,0.687086,28.126679
5.877712,0.072778,-1.666428,0.912765,28.225334
7.650907,0.071462,-1.924347,0.783805,28.258218
5.523073,0.071791,-1.086109,0.364687,28.258218
3.717638,0.071791,-0.92491,0.171247,28.323988
4.523635,0.071462,-1.537468,0.590366,28.159564
3.878837,0.067845,-1.150589,1.235164,27.732063
5.039474,0.061268,-1.634188,0.816045,28.291103
4.878274,0.056335,-1.311789,0.332447,28.258218
7.038349,0.053376,-1.311789,0.332447,28.389757
8.908264,0.052718,-1.569708,0.590366,28.323988
6.49027,0.05206,-1.956587,0.848285,28.356872
5.716512,0.054033,-1.763148,0.558126,28.521296
5.071714,0.053705,-1.150589,0.493646,28.356872
5.039474,0.051731,-1.311789,0.977245,27.830717
4.749315,0.048772,-1.344029,1.235164,28.159564
4.168996,0.043181,-1.086109,1.525323,28.258218
6.49027,0.041208,-1.182829,1.364124,28.258218
6.103391,0.043181,-1.182829,1.396364,28.225334
6.103391,0.047456,-1.634188,1.267404,28.192449
4.846035,0.052389,-1.666428,1.073965,28.587065
2.105642,0.05502,-1.118349,1.170684,28.258218
2.7182,0.056664,-1.698668,1.364124,28.356872
1.686523,0.055349,-2.182266,1.364124,28.488411
2.299081,0.056664,-2.214506,1.138445,28.323988
2.8794,0.058637,-2.085547,1.170684,28.356872
3.749877,0.059953,-1.698668,1.299644,28.291103
6.296831,0.061268,-2.246746,0.848285,28.389757
3.685398,0.065214,-2.504666,0.751566,28.488411
2.460281,0.069818,-1.118349,0.493646,28.291103
2.428041,0.073107,-0.86043,0.364687,28.455527
1.847723,0.073107,-0.86043,0.622606,28.323988
2.428041,0.071462,-1.247309,0.590366,28.455527
1.783243,0.070476,-1.247309,0.848285,28.356872
4.426916,0.070147,-1.311789,1.138445,28.356872
5.136194,0.070805,-2.278986,1.622043,28.422642
3.491958,0.073107,-1.827627,2.202362,28.389757
3.169559,0.079683,-0.92491,1.847723,28.126679
