Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-75.947168,0.112897,1.460844,16.194485,27.699178
-78.752039,0.08922,-0.69923,4.974994,28.028025
-54.507634,0.056006,-2.827065,3.878837,28.06091
-45.577181,0.056664,-5.406258,11.068338,28.126679
-38.581122,0.056993,-9.855365,20.675833,27.732063
-40.999115,0.020491,-4.53578,12.390175,28.192449
-46.963497,-0.009763,-5.986576,6.973869,28.06091
-31.746262,-0.010421,-3.987701,14.06665,27.764947
-35.96969,-0.031138,3.201799,19.708636,27.797832
-25.62068,-0.025219,0.525886,18.644718,27.633409
-26.910277,-0.002199,0.074527,9.746501,27.567639
-46.641098,-0.003844,-0.151152,12.422414,27.600524
-57.344746,0.02937,2.041162,27.639656,27.699178
-65.72712,0.056993,4.620355,26.479019,27.764947
-67.306875,0.035618,1.815483,10.616979,27.863602
-70.111746,0.045812,7.489707,3.620918,27.732063
-73.561415,0.025753,4.555875,13.808731,27.567639
-87.90817,-0.018971,2.105642,22.803668,27.830717
-96.419503,-0.072573,6.71595,17.548561,27.830717
-101.900286,-0.130779,2.460281,10.004421,27.896486
-103.866919,-0.122886,-1.408509,17.258402,27.962256
-88.714168,-0.150181,0.654846,30.831408,27.666293
-90.616322,-0.178133,2.589241,29.83197,27.797832
-78.816519,-0.168925,-1.440748,16.097765,27.797832
-76.849885,-0.168596,-4.53578,13.550812,27.797832
-74.496372,-0.174186,-1.569708,24.061025,27.797832
-64.469764,-0.160046,-0.92491,31.153807,27.567639
-55.474831,-0.145577,-1.311789,32.024285,27.666293
-42.191991,-0.124859,1.235164,22.02991,27.732063
-29.586189,-0.080465,3.298519,10.068901,27.863602
-22.10653,-0.019957,4.491395,20.675833,27.863602
-26.716837,0.048772,1.976682,28.864773,27.764947
-34.615614,0.098428,-0.183392,13.486332,27.99514
-29.747388,0.151372,0.816045,-1.956587,27.962256
-23.589566,0.196753,-3.987701,-7.469612,27.929371
-30.424426,0.256603,-3.117224,24.254464,28.028025
-24.943642,0.302313,2.65372,17.87096,27.764947
-27.748514,0.265482,-3.439623,-5.954336,27.797832
-41.128075,0.228322,-0.183392,15.678646,27.633409
-52.315321,0.202015,-0.280112,11.551937,27.797832
-57.699384,0.167157,-6.986013,16.258964,27.732063
-59.762738,0.134601,4.297956,5.780992,27.863602
-63.663766,0.122762,1.622043,-17.915342,27.797832
-60.955614,0.126051,-3.020504,10.26234,27.732063
-66.081759,0.125393,-2.923784,7.618667,27.863602
-68.98335,0.139863,1.525323,-6.180015,27.896486
-67.693754,0.165184,-1.408509,-7.340652,27.764947
