Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
2.68596,-0.057775,1.589803,-0.312352,26.778406
2.460281,-0.060405,-0.086672,0.332447,26.778406
0.364687,-0.063036,0.977245,-1.892107,26.811291
-2.407946,-0.065338,1.170684,-3.407383,26.745521
-4.825939,-0.065996,0.654846,-0.312352,26.909945
-3.858742,-0.065009,-0.82819,0.203487,26.778406
-2.794825,-0.063365,0.396927,0.364687,26.942829
-2.601385,-0.060734,0.010048,-0.215632,26.811291
0.364687,-0.058761,0.622606,-1.730908,27.074368
3.653158,-0.059748,1.589803,1.493084,26.975714
2.073402,-0.058761,-0.022192,1.138445,26.844175
1.396364,-0.056459,0.010048,-1.698668,26.811291
-0.183392,-0.054157,-0.280112,-0.602511,26.942829
0.396927,-0.051198,1.396364,-0.247872,26.745521
-2.504666,-0.048567,1.009485,0.171247,26.482443
-1.376269,-0.043963,1.525323,0.332447,26.909945
0.719326,-0.04199,2.428041,-0.086672,26.778406
0.493646,-0.03903,0.751566,1.589803,26.745521
-1.02163,-0.035413,1.718763,0.880525,27.041484
-1.182829,-0.031796,0.332447,-0.634751,27.074368
-1.440748,-0.029494,0.074527,-0.473551,27.074368
-3.407383,-0.028178,0.751566,0.945005,27.074368
-4.43906,-0.025548,0.396927,2.170122,27.008599
-1.440748,-0.023246,0.590366,-0.151152,26.942829
0.558126,-0.022259,0.719326,-1.02163,26.942829
1.493084,-0.022259,0.848285,0.945005,26.975714
2.202362,-0.022917,2.395801,1.106205,26.844175
0.396927,-0.019299,1.170684,-0.95715,26.778406
-0.79595,-0.013709,-0.280112,-1.988827,26.811291
-2.633625,-0.008448,0.203487,-0.69923,26.909945
-2.665865,-0.003186,1.751003,0.848285,26.975714
-4.019941,0.001089,1.686523,1.170684,26.87706
-2.343466,0.003062,1.718763,-0.151152,26.909945
-1.247309,0.003391,2.68596,0.171247,26.942829
-1.892107,0.002733,0.816045,1.428604,26.712636
-2.440186,0.001747,1.654283,1.783243,27.008599
-1.988827,0.002404,1.267404,1.041725,26.778406
-0.666991,0.001418,1.654283,-1.569708,26.87706
-0.89267,0.001418,-0.344591,0.139007,26.975714
-1.698668,0.00076,0.364687,1.041725,26.811291
1.009485,-0.000884,0.945005,-0.73147,26.646867
1.654283,-0.004501,1.041725,-0.151152,26.745521
0.429166,-0.007461,2.68596,-0.086672,26.679752
-1.730908,-0.005488,1.847723,0.300207,26.87706
-2.150027,-0.001213,1.751003,0.171247,26.909945
-3.504103,0.002076,1.170684,-1.730908,26.778406
-5.535217,0.006022,1.331884,-1.666428,26.844175
-4.40682,0.011941,0.461406,0.364687,26.679752
-3.084984,0.015558,0.751566,-0.247872,26.942829
-2.053307,0.014572,1.783243,-0.602511,26.975714
0.300207,0.01227,1.202924,0.525886,26.909945
0.267967,0.009639,1.106205,-0.118912,27.074368
-0.73147,0.009639,0.751566,-0.022192,26.679752
-2.278986,0.009968,0.493646,1.364124,26.87706
-1.924347,0.007008,2.008922,0.364687,27.074368
-3.084984,0.002404,1.525323,-1.440748,27.205907
-4.761459,-0.000884,1.106205,-1.344029,27.337446
-2.021067,-0.003186,2.105642,0.171247,27.041484
0.042287,-0.008448,0.719326,0.235727,26.87706
-0.95715,-0.012723,1.557563,-0.92491,26.811291
-3.020504,-0.015682,1.267404,0.525886,26.975714
-2.988264,-0.014038,0.267967,-1.118349,27.107253
-3.375143,-0.014696,2.073402,-1.440748,26.778406
-6.051056,-0.015024,0.042287,-0.73147,26.613982
-5.341778,-0.01634,-0.473551,-2.246746,26.811291
-1.730908,-0.015682,-0.344591,0.139007,27.107253
-0.247872,-0.014038,0.783805,0.042287,27.008599
-0.280112,-0.014696,0.977245,-1.763148,27.074368
-0.409071,-0.013051,0.332447,1.170684,26.844175
-0.570271,-0.013051,1.589803,0.816045,26.87706
-3.342903,-0.015353,1.428604,-0.570271,26.778406
-5.083858,-0.018313,1.912202,0.816045,27.041484
-5.277298,-0.021273,1.009485,-2.021067,26.909945
-5.696417,-0.025548,1.944442,1.912202,26.844175
-5.374018,-0.029165,2.073402,2.202362,26.87706
-1.827627,-0.032453,0.010048,-2.698105,26.975714
-1.440748,-0.035413,1.009485,-1.150589,26.975714
-2.794825,-0.035084,0.848285,0.525886,27.008599
-3.504103,-0.034755,-0.73147,0.461406,27.107253
-2.633625,-0.039359,0.525886,0.654846,26.778406
-4.50354,-0.045278,-0.73147,-0.312352,26.778406
-5.245058,-0.050869,-0.73147,-0.505791,26.942829
-2.150027,-0.057775,0.880525,0.977245,27.041484
-0.086672,-0.061392,0.042287,1.009485,27.107253
-0.86043,-0.062707,-0.538031,-2.246746,26.811291
-1.956587,-0.061063,1.912202,-1.634188,26.87706
-1.859867,-0.057117,0.332447,0.235727,26.778406
-3.375143,-0.054157,0.816045,-0.118912,27.107253
-6.244495,-0.053171,0.461406,0.364687,26.975714
-6.405695,-0.053171,-1.02163,-1.182829,27.041484
-4.43906,-0.054815,1.460844,0.558126,26.022057
-3.407383,-0.059748,1.783243,0.622606,26.811291
-1.763148,-0.066982,0.912765,-0.98939,27.074368
-0.666991,-0.0706,0.590366,0.235727,26.942829
-0.98939,-0.071915,0.525886,-0.505791,27.403216
-2.569145,-0.071586,0.719326,0.364687,26.613982
-3.213944,-0.069942,0.235727,0.558126,26.778406
-3.858742,-0.068955,0.171247,-1.569708,26.811291
-4.729219,-0.067969,-1.118349,-0.89267,26.909945
