Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-14.336713,-0.53263,-8.533529,11.003858,27.830717
-16.819186,-0.502047,-11.177202,18.612478,27.732063
-18.62462,-0.473437,-8.469049,25.7375,27.797832
-19.301659,-0.444828,-8.888168,22.02991,27.699178
-19.591818,-0.419835,-10.435684,3.975557,27.99514
-19.591818,-0.375112,-6.534654,14.550249,27.896486
-20.591255,-0.321181,-3.439623,52.915756,27.370331
-21.816371,-0.292243,-1.730908,54.269833,27.50187
-23.492846,-0.250808,-5.954336,40.471145,27.468985
-25.78188,-0.203125,-7.211693,39.826346,27.534754
-27.329395,-0.173858,-6.115536,30.960368,27.764947
-29.10259,-0.139,-10.081045,-6.018816,27.99514
-30.650106,-0.107102,-9.307287,-28.361072,27.764947
-33.132578,-0.09033,-8.27561,-21.074853,27.830717
-35.647291,-0.088029,-21.332773,-18.237742,27.830717
-38.033044,-0.082767,-15.20719,-18.65686,27.896486
-40.193117,-0.060734,-1.827627,-17.883103,27.99514
-42.288711,-0.045936,-7.211693,-3.987701,27.666293
-44.223105,-0.031138,-3.342903,-6.083296,27.797832
-45.254782,-0.023246,6.36131,-12.208879,28.455527
-45.609421,-0.050211,10.16562,-1.956587,27.929371
-45.319262,-0.094605,-6.437935,1.976682,27.962256
-44.255345,-0.115981,-19.688537,5.136194,27.863602
-42.030792,-0.128148,-21.139333,-5.760897,27.830717
-39.38712,-0.155442,-13.627435,-15.690789,28.126679
-36.485528,-0.166952,-14.304473,-2.536905,27.830717
-33.261538,-0.17616,-24.266604,-1.182829,27.962256
-29.908588,-0.185038,-25.81412,2.041162,27.468985
-25.975319,-0.179448,-13.176076,-3.697542,27.962256
-19.914217,-0.187998,-9.146087,-13.530715,27.929371
-14.981511,-0.202467,-8.08217,-10.758083,27.962256
-10.596883,-0.209373,-0.280112,-2.569145,27.896486
-6.889293,-0.22154,-2.536905,-3.471863,27.896486
-4.245621,-0.243902,-4.148901,-16.529026,27.962256
-2.117787,-0.272512,5.587553,-5.374018,27.863602
0.042287,-0.302437,-1.344029,5.652032,27.962256
1.783243,-0.346831,-8.630249,0.880525,27.797832
3.330759,-0.395172,-4.858179,0.590366,27.863602
4.555875,-0.45272,-7.308412,-10.306724,27.896486
5.136194,-0.511255,-1.956587,-9.597446,27.830717
4.974994,-0.550387,4.813795,-0.086672,27.896486
4.910514,-0.573078,-4.56802,-10.951522,27.699178
4.072277,-0.604318,-2.988264,-15.17495,27.929371
3.298519,-0.631284,6.200111,-8.662489,27.896486
1.976682,-0.632599,7.457468,6.941629,27.863602
1.396364,-0.626351,7.683147,14.22785,27.830717
2.105642,-0.625365,2.7182,5.813232,27.699178
3.330759,-0.617472,2.78268,-2.407946,27.830717
4.813795,-0.616157,6.844909,-1.666428,27.863602
6.36131,-0.608922,8.327945,-8.952648,27.863602
8.424665,-0.578668,12.228975,-16.013188,27.929371
11.036098,-0.576038,12.906013,-18.269981,27.830717
13.454092,-0.586561,5.039474,-20.430055,27.929371
16.226725,-0.605305,10.649219,-21.074853,27.863602
17.774241,-0.624378,12.777054,-18.560141,28.028025
19.257277,-0.62109,14.743688,-24.073165,27.99514
20.514634,-0.616486,7.586427,-19.849737,27.830717
21.288392,-0.625365,1.364124,-13.466235,27.797832
21.546311,-0.633586,0.364687,-8.27561,27.797832
20.643593,-0.620761,-5.954336,-7.114973,27.863602
19.418476,-0.585574,-2.407946,-6.180015,27.732063
17.290642,-0.528026,-0.79595,-5.470737,27.797832
14.808168,-0.480343,4.104517,-14.530152,27.699178
12.970493,-0.455351,-3.600823,-16.690226,27.962256
10.745939,-0.418849,-1.698668,-11.016002,27.929371
7.973306,-0.385964,8.005546,-2.923784,27.830717
5.200674,-0.35012,0.945005,-4.858179,27.764947
3.137319,-0.314933,2.75044,-14.046553,27.929371
2.041162,-0.27876,3.943317,-0.538031,27.600524
1.622043,-0.237654,3.072839,8.940504,27.797832
2.234602,-0.212004,1.009485,3.491958,27.732063
3.169559,-0.194575,3.427478,-7.018253,28.159564
5.361873,-0.155771,8.779304,-17.302784,27.896486
7.618667,-0.122886,3.105079,-19.849737,27.962256
10.004421,-0.106444,7.618667,-16.915905,27.99514
12.744814,-0.092961,9.843221,-9.919845,27.929371
16.162245,-0.096579,8.714824,-22.622369,28.06091
19.418476,-0.093619,21.191672,-23.105968,27.863602
21.86871,-0.092304,18.580239,-4.858179,27.863602
24.125504,-0.106444,9.972181,-2.698105,28.093795
26.285579,-0.122886,8.102266,-10.983762,27.896486
28.864773,-0.127161,5.394113,-11.402881,28.159564
31.927565,-0.129792,5.813232,-4.793699,27.699178
33.668521,-0.125517,4.555875,5.232913,27.830717
35.216037,-0.117296,-0.666991,4.362436,28.028025
35.506197,-0.123215,1.235164,-3.665302,27.896486
35.957555,-0.125846,3.491958,6.038911,27.830717
34.635719,-0.11894,7.296268,9.778741,27.666293
33.378362,-0.116967,2.073402,1.138445,27.764947
31.959805,-0.124531,-1.05387,10.810419,27.699178
30.605728,-0.143275,-6.599134,5.232913,27.929371
29.445091,-0.154456,4.717075,2.395801,27.732063
28.574613,-0.173858,9.198423,-5.019379,27.863602
27.607416,-0.210688,-1.537468,-12.337838,27.896486
27.156057,-0.255083,5.909952,-6.244495,27.797832
27.252777,-0.269223,-0.666991,-9.339527,27.896486
28.735813,-0.271854,1.879963,-6.760334,27.929371
30.605728,-0.275471,2.8794,-0.92491,27.699178
32.314444,-0.287968,-2.343466,1.267404,27.764947
33.733001,-0.296846,-0.086672,6.55475,27.896486
35.635156,-0.262317,3.008359,9.585302,27.797832
38.794669,-0.232064,-4.858179,0.010048,27.962256
42.179861,-0.196219,-13.079356,-8.952648,27.830717
46.467771,-0.142946,-13.369515,-3.020504,27.830717
50.175362,-0.126832,-8.08217,-1.279549,27.99514
52.819037,-0.121242,-9.049367,-2.375706,27.797832
54.688952,-0.088357,-6.857054,-4.148901,28.455527
55.59167,-0.066982,-4.37458,-2.601385,27.929371
56.075269,-0.040346,-2.150027,9.843221,27.830717
55.494951,-0.02785,9.553062,14.614729,27.830717
54.398793,-0.017655,2.395801,4.846035,27.863602
51.819599,-0.009763,-2.375706,2.299081,27.732063
49.949683,-0.002857,5.103954,6.973869,27.929371
47.338249,-0.000555,-10.919282,-2.440186,27.896486
44.952494,-0.009105,-2.150027,3.298519,27.830717
43.018099,-0.025548,4.555875,1.202924,28.192449
39.858586,-0.057446,-8.01769,-3.504103,27.797832
38.05315,-0.093948,-6.857054,5.200674,27.863602
36.022035,-0.106773,-6.986013,4.072277,27.863602
35.054838,-0.112692,-4.50354,7.070589,27.797832
34.345559,-0.115652,-8.952648,0.493646,27.863602
34.603479,-0.124202,-9.694166,0.977245,27.896486
35.280517,-0.137356,-8.888168,12.422414,27.797832
34.764678,-0.141631,-5.696417,1.847723,27.830717
35.731876,-0.132423,-11.209441,1.331884,28.389757
37.762991,-0.108088,-7.630811,1.622043,27.99514
40.309945,-0.099867,0.300207,-0.086672,27.863602
42.43778,-0.092304,-3.858742,10.649219,27.929371
44.243216,-0.066653,0.558126,12.712574,27.863602
44.501135,-0.060734,3.169559,18.547999,27.699178
43.856337,-0.059419,2.137882,15.614166,27.863602
43.727377,-0.061392,4.652595,-1.859867,27.863602
42.921379,-0.074217,9.843221,6.232351,27.797832
42.27658,-0.107102,3.072839,12.196735,27.764947
39.310507,-0.141302,4.974994,-2.665865,27.732063
36.150995,-0.170898,10.874899,-5.793137,27.896486
31.379486,-0.168596,12.809293,-10.274484,27.863602
26.479019,-0.175502,13.325132,6.941629,27.764947
22.642468,-0.186683,14.06665,10.19786,27.896486
17.99992,-0.178461,3.362998,-15.013751,27.830717
14.16337,-0.173529,13.518572,-10.758083,27.962256
10.068901,-0.157744,6.780429,-7.405132,27.929371
5.877712,-0.135054,6.39355,-11.531841,27.830717
2.589241,-0.106444,14.29233,-10.596883,28.126679
-0.473551,-0.074875,1.138445,-19.591818,28.028025
-3.084984,-0.044621,5.813232,-13.949834,28.028025
-5.245058,-0.04199,11.132818,-10.629123,27.896486
-6.599134,-0.021273,11.197298,-7.98545,27.929371
-7.082733,0.001418,17.161682,0.816045,28.028025
-7.98545,0.011283,21.449591,0.719326,27.896486
-8.17889,0.035289,22.835908,1.718763,28.225334
-9.500726,0.041537,17.9032,1.879963,27.896486
-11.402881,0.031672,26.833658,3.105079,27.863602
-13.143836,0.010297,29.187172,1.073965,27.99514
-15.11047,-0.019628,17.96768,-4.922659,27.962256
-16.754706,-0.02785,16.839283,-7.727531,28.06091
-19.301659,-0.045607,18.870398,-8.662489,27.863602
-21.429492,-0.066653,17.451841,-10.467924,27.896486
-23.976445,-0.091317,16.420164,-5.986576,28.06091
-26.942516,-0.130121,22.545748,1.396364,27.863602
-29.715148,-0.132752,21.094952,-1.279549,28.028025
-32.842419,-0.118611,14.09889,-8.404569,27.929371
-35.518331,-0.098223,16.742563,-0.602511,27.863602
-38.774562,-0.071915,17.93544,0.429166,27.797832
